process	tasks	cached	completed	total_realtime_seconds	max_realtime_seconds	max_peak_rss_bytes
RNASEQ:RNASEQ_ALIGNMENT_QUANTIFICATION:IMPORT:IMPORT_SOURCE	23	23	0	7.815	0.654	16882073
RNASEQ:RNASEQ_ALIGNMENT_QUANTIFICATION:IMPORT:SALMON_IMPORT	1	0	1	23.100	23.100	647181107
RNASEQ:RNASEQ_ALIGNMENT_QUANTIFICATION:IMPORT:SALMON_SAMPLE_TABLE	1	0	1	0.258	0.258	3774873
RNASEQ:RNASEQ_ALIGNMENT_QUANTIFICATION:IMPORT:TX2GENE_BUILD	1	1	0	16.500	16.500	637429350
RNASEQ:RNASEQ_ALIGNMENT_QUANTIFICATION:QUANTIFICATION:SALMON_QUANT	23	23	0	3784.000	336.000	1181116006
RNASEQ:RNASEQ_ALIGNMENT_QUANTIFICATION:RNASEQ_ALIGNMENT_PLAN	1	1	0	7.200	7.200	58615398
RNASEQ:RNASEQ_ALIGNMENT_QUANTIFICATION:RNASEQ_IMPORT_CONTEXT	1	1	0	0.710	0.710	3774873
RNASEQ:RNASEQ_ALIGNMENT_QUANTIFICATION:RNASEQ_QUANTIFICATION_PLAN	1	1	0	12.900	12.900	59873689
RNASEQ:RNASEQ_ALIGNMENT_QUANTIFICATION:SALMON_INDEX_VALIDATE	1	1	0	1.500	1.500	22229811
RNASEQ:RNASEQ_DIFFERENTIAL_EXPRESSION:DIFFERENTIAL_EXPRESSION:DESEQ2_CONTRAST	6	0	6	177.200	29.700	1288490188
RNASEQ:RNASEQ_DIFFERENTIAL_EXPRESSION:DIFFERENTIAL_EXPRESSION:DESEQ2_MODEL	1	0	1	24.900	24.900	849870848
RNASEQ:RNASEQ_DIFFERENTIAL_EXPRESSION:DIFFERENTIAL_EXPRESSION:DE_AGGREGATE	1	0	1	2.100	2.100	167143014
RNASEQ:RNASEQ_DIFFERENTIAL_EXPRESSION:DIFFERENTIAL_EXPRESSION:DE_PREFLIGHT	1	0	1	0.430	0.430	13421772
RNASEQ:RNASEQ_DIFFERENTIAL_EXPRESSION:RNASEQ_DE_CONTEXT	1	1	0	1.300	1.300	3774873
RNASEQ:RNASEQ_NATIVE_FOUNDATION:REFERENCE_BUNDLE	1	1	0	9.000	9.000	24956108
RNASEQ:RNASEQ_NATIVE_FOUNDATION:RNASEQ_CONTEXT	1	1	0	0.189	0.189	3774873
RNASEQ:RNASEQ_NATIVE_FOUNDATION:RNASEQ_METADATA	1	1	0	0.448	0.448	15623782
RNASEQ:RNASEQ_QC:FASTQC_MERGED	46	46	0	9549.000	389.000	1503238553
RNASEQ:RNASEQ_QC:FASTQC_RAW	276	276	0	10338.300	117.000	1503238553
RNASEQ:RNASEQ_QC:FASTQC_TRIMMED	276	276	0	10019.900	95.000	1503238553
RNASEQ:RNASEQ_QC:MERGE_FASTQ	23	23	0	7860.000	815.000	11010048
RNASEQ:RNASEQ_QC:MULTIQC	1	1	0	47.400	47.400	589928857
RNASEQ:RNASEQ_QC:TRIM_GALORE	138	138	0	18349.600	306.000	363226726
RNASEQ:RUN_MANIFEST	1	0	1	1.400	1.400	33239859
