gene_id	Intercept	condition_adult_pzq_vs_adult_control	condition_juvenile_control_vs_adult_control	condition_juvenile_pzq_vs_adult_control
Smp_000020	11.093051983452	0.033382196903741	0.654209563134301	0.445595893496565
Smp_000030	13.098935475025	0.284277957016823	0.311788193651272	0.399690879352271
Smp_000040	12.3953217647502	0.164705854284728	-0.115335530733641	-0.0623293752987043
Smp_000050	9.27068728882204	1.5622485216417	0.0461717923851358	0.345575168416243
Smp_000070	10.7471468208117	-0.0669133411915808	0.140873378678016	0.0901330312591417
Smp_000080	1.88312607224721	0.191603543116414	-0.681759179848082	-1.13318117220896
Smp_000100	13.3256008427353	-0.557725948647104	0.686744681135561	0.39569544013103
Smp_000110	9.99024895531524	-0.111700320823416	-0.0409843981715497	-0.0274369841168875
Smp_000130	11.4731591831457	0.177187215978853	0.400955405196382	0.475274852097419
Smp_000150	10.8921530117839	0.438876223782349	0.265233247943819	0.365310608181728
Smp_000160	8.81707510328279	-0.103909677264013	-0.267622241510617	-0.491609181342887
Smp_000180	8.88338011146834	-1.65746732438673	-1.70126921737094	-2.84177558049679
Smp_000190	11.3020482753209	-0.531954293695751	0.208605167528887	-0.155621423998572
Smp_000200	10.5935802154264	0.258625858758792	-0.303115928948218	-0.262414334518413
Smp_000230	10.3012168583681	0.304231286428487	0.170786194938977	0.270963949597597
Smp_000240	12.4941189048211	0.274534178027336	0.533365239384794	0.419711303325804
Smp_000260	15.5484563668101	0.178981351466798	-0.337285279967408	0.0946618156135938
Smp_000270	11.5507855995758	-0.69553800681769	-8.80254656140259	-9.70695521623164
Smp_000280	13.7992061236959	-1.95313442973445	-8.21859290725058	-8.62043543573087
Smp_000300	10.0348550300637	-0.152179752099434	0.427717969959489	0.524909398566668
Smp_000310	11.5868120854493	0.000465042046217063	-1.23104280770696	-0.9448325865484
Smp_000320	10.9996654483212	-0.92336482042142	0.14908899128489	0.0186711407648917
Smp_000340	8.44524937409742	0.375567047625481	-1.39788597680307	-1.35713239694565
Smp_000370	11.1430330224039	0.139852756550327	-0.537519150853313	-0.369351325165708
Smp_000390	13.0612985395367	-1.46563623136893	-8.67200027275217	-8.9771344101918
Smp_000420	14.3583054376963	-1.77866602283927	-7.41156137486673	-8.67705170681263
Smp_000430	15.5118570874729	-1.9519489286444	-8.52587801160254	-9.59802300555813
Smp_000470	10.7447577231399	-0.0325887433003953	0.117607227352566	0.113773666466283
Smp_000480	12.2902188564015	-0.196829124511337	-0.0672029864740356	-0.14223940089059
Smp_000500	5.0462888160637	-0.397126379206349	-1.77742626194598	-2.08498691806216
Smp_000510	9.58722530694195	-0.22065052082614	0.453765560936182	0.202008508550548
Smp_000580	7.31558957814789	0.00354475460537827	0.952953575143142	0.878041469992673
Smp_000590	10.8375799129587	-0.125223290003354	0.0478032377908949	-0.0187614846984189
Smp_000600	10.3002450608436	-0.0847268249701078	-0.0316500188811254	-0.0637051901022657
Smp_000620	3.42213103707896	0.56294189025974	0.171912827772896	1.10927906991639
Smp_000630	7.55479050824237	0.18515205097335	0.0109760044034406	0.245453499622777
Smp_000640	10.6550899971201	-0.089813923230579	0.0610852399707249	0.0531949810750791
