gene_id	dispersion
Smp_000020	0.00305820799407427
Smp_000030	0.00216229949467277
Smp_000040	0.00119106775446938
Smp_000050	0.0124811735932147
Smp_000070	0.00455614372613534
Smp_000080	0.362223557786538
Smp_000100	0.00851189145908846
Smp_000110	0.00319783132541102
Smp_000130	0.00316751830124985
Smp_000150	0.0027784156961607
Smp_000160	0.0151509634187733
Smp_000180	0.0612356035779629
Smp_000190	0.0385109690845415
Smp_000200	0.00206763972000373
Smp_000230	0.00355542888985116
Smp_000240	0.0034582366964658
Smp_000260	0.00189560720873952
Smp_000270	0.174349362821446
Smp_000280	0.320229953763703
Smp_000300	0.00767528478065858
Smp_000310	0.00288550687275589
Smp_000320	0.0128153479849456
Smp_000340	0.00726327722305394
Smp_000370	0.00222323824794802
Smp_000390	0.654263038858141
Smp_000420	0.402993878702848
Smp_000430	0.543060096800034
Smp_000470	0.0019977776245812
Smp_000480	0.0011705507397031
Smp_000500	0.0661807315989232
Smp_000510	0.0027946486787881
Smp_000580	0.0159873671212135
Smp_000590	0.00179683547692529
Smp_000600	0.0037341174098137
Smp_000620	0.0682976096470856
Smp_000630	0.00769299607713748
Smp_000640	0.00636533562568242
Smp_000650	0.00284295907216251
Smp_000660	0.0053550468198609
Smp_000670	0.00105583934230096
Smp_000680	0.00749677566915715
Smp_000690	0.016740742109036
Smp_000700	0.00523142086747211
Smp_000710	0.00112033891952595
Smp_000720	0.00197394508674201
Smp_000740	0.00250943652858462
Smp_000755	0.00863491037971157
Smp_000790	0.00158833764767067
Smp_000810	0.00417555983625025
Smp_000820	0.0109926174931285
Smp_000830	0.0401998770437696
Smp_000850	0.00377648322569054
Smp_000870	0.00287075319689654
Smp_000880	0.00561285831819049
Smp_000900	0.0217618974368796
Smp_000910	0.0118313993408883
Smp_000950	0.0145311583740429
Smp_000980	0.00240846313088135
Smp_000990	0.00274662926438761
Smp_001000	0.0219106891635108
Smp_001020	0.00338998519629673
Smp_001030	0.00661953869304351
Smp_001040	0.00500765891216746
Smp_001070	0.0141839022296402
Smp_001080	0.00524142545318514
Smp_001090	0.0029829984682337
Smp_001095	0.00387560291254505
Smp_001100	0.0229991817747325
Smp_001120	0.0378363616245081
Smp_001160	0.0117055918702364
Smp_001170	0.00215091334956112
Smp_001180	0.0040537153110589
Smp_001210	0.00675218443783201
Smp_001360	0.00224270100739282
Smp_001390	0.00424253614540645
Smp_001410	0.00311391915331639
Smp_001420	0.00168920852449866
Smp_001500	0.00608938597020193
Smp_001530	0.00111867716336683
Smp_001560	0.00255846314704719
Smp_001590	0.00214427708495331
Smp_001610	0.00422984247985143
Smp_001640	0.00242083492094497
Smp_001780	0.0164453262484763
Smp_001830	0.00345098877657879
Smp_001900	0.0423901504149276
Smp_001940	0.00408826315841806
Smp_001950	0.0188201949985387
Smp_001960	0.00184786424566164
Smp_001980	0.0347758660076619
Smp_002010	0.0042470743548457
Smp_002060	0.188901523620916
Smp_002080	0.00568191255146186
Smp_002100	0.00979346200970584
Smp_002160	0.00240969911224605
Smp_002180	0.00195076099333952
Smp_002230	0.00467744373651747
Smp_002280	0.00150560294346769
Smp_002380	0.0015741104916691
Smp_002410	0.00220612827543149
Smp_002510	0.00297297969786086
Smp_002550	0.00363055412610544
Smp_002600	0.0745921024330348
Smp_002640	0.0202980785243508
Smp_002740	0.0025274707650699
Smp_002820	0.00834245186367894
Smp_002840	0.00172861651100443
Smp_002870	0.00277837275786724
Smp_002880	0.00360592412918947
Smp_002920	0.00479442872415037
