value	status	note
control	source_preserved	Initial registry value; no cross-study biological equivalence asserted.
pzq_100mgkg_14h	source_preserved	Initial registry value; no cross-study biological equivalence asserted.
pzq_400mgkg	source_preserved	Initial registry value; no cross-study biological equivalence asserted.
untreated	source_preserved	Initial registry value; no cross-study biological equivalence asserted.
