value	status	note
female	source_preserved	Initial registry value; no cross-study biological equivalence asserted.
male	source_preserved	Initial registry value; no cross-study biological equivalence asserted.
mixed	source_preserved	Initial registry value; no cross-study biological equivalence asserted.
mixed_paired	source_preserved	Initial registry value; no cross-study biological equivalence asserted.
