value	status	note
ovary	source_preserved	Initial registry value; no cross-study biological equivalence asserted.
testis	source_preserved	Initial registry value; no cross-study biological equivalence asserted.
whole_organism	source_preserved	Initial registry value; no cross-study biological equivalence asserted.
whole_worm	source_preserved	Initial registry value; no cross-study biological equivalence asserted.
whole_worm_pair	source_preserved	Initial registry value; no cross-study biological equivalence asserted.
