gene_id	PRJEB14695__ovary_mixed_sex_r1	PRJEB14695__ovary_mixed_sex_r2	PRJEB14695__ovary_mixed_sex_r3	PRJEB14695__ovary_single_sex_r1	PRJEB14695__ovary_single_sex_r2	PRJEB14695__testis_mixed_sex_r1	PRJEB14695__testis_mixed_sex_r2	PRJEB14695__testis_mixed_sex_r3	PRJEB14695__testis_single_sex_r1	PRJEB14695__testis_single_sex_r2	PRJEB14695__testis_single_sex_r3	PRJEB14695__whole_female_mixed_sex_r1	PRJEB14695__whole_female_mixed_sex_r2	PRJEB14695__whole_female_mixed_sex_r3	PRJEB14695__whole_female_single_sex_r1	PRJEB14695__whole_female_single_sex_r2	PRJEB14695__whole_female_single_sex_r3	PRJEB14695__whole_male_mixed_sex_r1	PRJEB14695__whole_male_mixed_sex_r2	PRJEB14695__whole_male_mixed_sex_r3	PRJEB14695__whole_male_single_sex_r1	PRJEB14695__whole_male_single_sex_r2	PRJEB14695__whole_male_single_sex_r3
Smp_000020	5152.856680995937	2227.89894057756	4779.36411656103	5013.733909624254	5794.742943391619	1856.9010908228863	1826.261237467502	1728.837236479521	2258.4285928136496	3435.0524465422486	2263.3936713074704	3720.1197596517623	1538.2024322257964	1257.7627103883592	1726.531701487253	3507.7845627828956	2441.133622057424	1465.4518758733968	2178.7792221910154	2144.9056199413876	1722.5617818933765	1654.5584963144604	1598.4917769621857
Smp_000030	25337.727875452034	10369.230213945904	22668.4322112571	16442.299479136276	18412.22292517414	7429.852119957982	6851.21292680048	5863.774395676494	8351.118097762233	11320.013811685025	11140.325750610971	18299.39691036216	8809.566571460859	7263.159251770622	11166.683310920005	22593.300489813006	13405.555866910068	5403.172406489125	12348.68070243853	12746.391378069273	11367.358303758876	11277.961126530134	9916.24875291815
Smp_000040	6152.905212733933	2809.05389489877	5720.1360708949605	5362.2643059765405	5853.00956441158	5512.673519698078	4440.519516555967	4292.734296287455	5159.761657788885	7994.809345947584	6915.633256584024	9700.618494958588	4302.983022799231	3782.190336794306	7044.6419816781345	13035.10270168857	8215.34101916075	2898.310488304949	7281.58565404831	6973.592503532377	7095.6113001962185	6794.446201561395	6099.2429426605995
Smp_000050	443.14961883715864	192.07010720382232	454.7076493214726	87.50421574258552	135.81807352942138	776.7328909350401	552.4202645359263	638.1082334525812	349.275543948101	652.1790688814252	497.58231491437346	5449.620178923193	162.58597193767176	170.969022598583	645.4105738432779	1447.1324110511368	823.0846286865168	81.3083404710808	2681.60597292607	2494.411382082175	876.7184009866749	867.8899560513192	1416.014993118075
Smp_000070	7093.15290845233	2784.2477898185084	5388.953251077144	2869.973986849246	3166.753567015535	1823.8124759733842	1393.6775676861137	1217.5942851944033	1512.4222905094452	1982.6243936340236	2069.2226646450767	1766.9243050556295	1227.1478305216533	1589.492155119683	2350.0533037144396	3971.714673996167	3018.6071067018856	1071.5324224783699	1442.0801912488278	1196.5049368098048	1331.0642365886738	1432.1078927909725	1133.2273929271764
Smp_000075	0	0	0	0	0	5.974027577069853	0	10.859332882443372	0	0	2.987950382031536	0	0	0	0	0	0	0	0	0	0	1.9835420370837733	0.9996432603837073
Smp_000080	0	0	0	7.5473154607166135	17.482603229840432	4.7826501999518705	0	0	1.0898657488878751	5.600839740132692	3.8064690293691794	3.452276730665067	1.2193077335072768	0	3.8362330252191277	13.054109549118268	1.09963014480077	0	6.121691389110926	0	5.125027393602266	0	1.195179275544361
Smp_000100	190.0905270637214	125.68837890866034	169.1154747425551	1808.2985741448422	2635.2668158735405	55.67073232060201	52.941454865690694	86.91171848249682	87.0204519443828	267.173650744709	225.82226796091288	17260.90941120282	1573.551858745344	1135.3385396236752	9215.038984509834	14928.520210013568	10423.838040028353	1050.6763936530904	11722.174276667314	14185.038532986278	11750.572906340856	12256.204913952335	9977.27424923746
Smp_000110	3219.4626432295427	1488.5493577043173	3063.45182585429	1534.946675029254	1832.657162169492	520.2239765493496	511.49930948608517	346.9263877483664	701.1173355105841	938.1732441810683	750.7235147166961	1114.9463197997147	934.4577785943669	722.8009642806533	811.4282655071106	1653.7577112639233	1159.016002476618	445.4132655896789	846.27094300015	741.7000813841073	687.7020922863561	685.5698477791954	668.2794801783658
Smp_000130	889.050438477751	390.6755375854004	797.226930092617	1789.4396645286145	2116.442264433862	575.3507679038946	836.2000476846051	526.2503664474633	851.8433427520567	1260.9996476240988	855.3974601751813	5693.186187783684	867.5954628088807	721.9905834357216	1836.0917531074979	3846.5904602372925	2481.7915645497797	766.9340204644609	3325.7808607109964	3080.1826450433864	2050.801450897429	1947.0510571154216	1749.193425105939
Smp_000150	4815.264041695316	1999.6588296228826	4177.046283962696	3550.1715277574876	3710.602434837522	1404.258189437025	1312.6509711046588	1076.0081488098103	1519.1558822044046	2339.279441122291	1969.283876838964	3497.399850609354	1650.3452816166275	1145.342714624372	1980.713555118744	3876.567568158552	2282.277288121713	1058.1535181165384	2159.6186785666237	2395.9544522955407	2082.441346090278	1941.0091071621614	1853.847390575188
Smp_000160	1539.9806660906881	547.3696122345045	1240.2112961191247	318.1641388281809	635.1346828792872	31.925338813025043	30.931208435722233	18.143711382787505	29.680504728858544	48.246578646709615	46.8048922333022	1240.103481530675	111.73062791027763	110.36987371263594	745.8337083212461	1307.4050234448257	599.4166719630826	158.72669327649427	860.2275246358579	750.9376656003853	707.7339221754771	621.95384004340406	629.4576424457058
Smp_000180	0	0	0	0.9989086898582689	0	2.9992812615769795	0	5.974801727065392	4.99537431917396	3.002425212607796	12.001666991312508	698.8105899486364	6.9842036350224195	5.976110151319674	95.77854332105991	196.56257697927543	107.6167748526778	8.966306594960146	261.2195847078071	307.07004854771134	629.6808264226091	563.6691232912665	675.4958482655823
Smp_000190	1712.2621659107162	707.6165648458692	1351.5776049416622	1871.639453763658	1916.627317318438	574.9977682200173	290.8739428167608	358.8706008528051	625.9182437280798	710.2310281477513	864.3971566439544	5652.372726901883	3129.138761434324	2452.7759623570428	5648.914866381664	12083.752690117763	8080.178013339089	2319.778075179174	4980.477156866434	4595.303666848784	5160.177406252574	4732.427287062591	3995.0969082945217
Smp_000200	1622.652170098921	683.9743222347035	1339.5732401133928	5762.970938437212	6672.318687199724	474.1597100258391	492.4499699826902	293.1254248666616	1040.2755458159345	1392.1600876806328	1029.2321082568153	1483.6983545161534	765.9988212934353	702.6140767495747	1350.5257248923738	2415.2956107653367	2004.2403711699371	518.4450719916387	1258.1775826512346	990.0301910870801	1368.9015681732576	1271.302131383621	1244.211500475156
Smp_000230	1366.7759776309479	835.0543949105739	1357.3876208614206	2362.7141654869233	2831.228010838423	806.1947996688391	779.1904669389781	831.0581106943359	1181.9216892585405	1788.3453962440685	1123.3453767793487	1810.9000312590306	997.4756695914828	863.7315173371442	795.8655543119252	1318.8741616575342	1555.688963061969	621.6678369049573	1286.8184910055375	1190.5989599535108	962.2206945416159	921.8634237739176	879.5566725107157
Smp_000240	25032.743982446806	11189.13299268564	23592.66042046802	20892.661744136924	21324.22186688211	8282.21393702343	7875.462879930203	4929.960699932561	9252.42555633892	11966.223033253425	15465.234906449396	9199.564059599657	9503.85262461219	9379.056684222047	11912.947582870029	24619.970152882124	17337.035458878076	5535.887258399063	9972.671153253605	10491.236396227914	9785.278801381855	9927.776462484437	7630.007009713362
Smp_000250	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smp_000260	9142.365597836204	4376.366102439136	9040.762033473537	11956.694511650876	15421.66398344611	10888.135370323836	9705.382748514578	8357.65186121435	11360.69932654751	17335.30053359253	19843.17118475419	63463.387812594	19203.37115174103	18823.272428339285	51792.57324294781	90036.83690167262	69485.89973444122	13385.488936173051	61347.52195395261	46241.58523846228	54228.929282005425	51988.99258172222	45681.96953841908
Smp_000270	6.965790675409367	8.944256613605763	9.9963798381599709	4.97473918009984	7.004766432272559	11.049550385889427	33.011549678127	1.9737991941360213	8.992336100121767	9.039140402904652	13.06121099403185	8.891419368549553	7908.348752591735	6114.692827016406	110.77688388238998	708.147404288116	103.2987711302536	4756.488036854432	30.951923338849852	44.81646393207242	19.878368340836886	14.958057815977707	15.262756936133458
Smp_000280	13.444526517153482	12.898728836557156	7.370021916747714	2.7137267474441282	22.393219602318062	153.16308512015206	85.86605991794588	109.27598231971677	99.9670089871914	158.490206740763	117.4775370572826	112.40073889765233	23787.509733650535	21507.913337272363	418.94467771618395	2885.555397062548	530.8258230645066	17211.49250217461	73.82191972826318	144.77655160771374	58.388670819191695	51.6323580294475	24.67836660296113
Smp_000300	499.2875649416913	212.96286007166927	407.33546178931203	1201.3231878610977	1297.3786092923156	2787.721294029133	2238.7927383637802	2111.161574053861	2554.457519267011	3875.4874924271994	3022.984534809515	1368.9860941457357	169.58102441037812	113.33905361003241	1192.8746665407755	1781.0629049960387	1579.7327196069664	104.15656652855581	1069.5860606267215	927.8002151007272	921.9311380901383	897.3722533223014	724.9294119083559
Smp_000310	2906.7708061919084	1186.5315380334619	2740.376839926354	1770.6643591395843	1744.1702928901611	2106.596230184901	1682.9505799132053	1362.631415410987	1449.3505178542052	2320.4524838339757	1593.3409100994493	3742.9819156441076	1847.2635858604622	1493.8000608553186	1706.3619406032508	2919.6430335003097	1941.3591280028763	1597.9086433581833	2400.2755996261703	1939.1433471698483	1808.4220961219362	1916.7789004660142	2041.4923283743901
Smp_000320	250.37741918658804	108.12049341984994	192.34450906853607	887.7582305198081	1813.8298286600589	1047.5976596538567	739.5882727745568	741.20644933757	770.8823780778079	1049.5034236084834	1349.9250395627764	3327.8893879655816	565.9056937225453	481.85201146146323	4920.744696308281	7519.477658889524	4875.8774479933045	356.1011229154846	3853.1754227734878	3244.602584884756	3262.7048781038297	3229.7361199940633	2747.0683659706783
Smp_000340	41.21200727640051	18.09335261144419	22.883410457446196	118.69962993979671	104.85716958932824	115.35055260830943	213.77205942578925	134.32201295909584	126.02604693553909	258.2536318384574	125.37672001319932	175.14876028865515	660.3072415371216	596.5118108475046	103.36481406907693	161.01614631858973	110.2526496169268	634.3278663067039	176.3539306822627	152.97068125780163	124.3993229352015	126.91277563218783	91.74589751823345
Smp_000370	2039.036409508607	649.4677542760614	1644.5618358658455	1378.308422623689	1484.335016461884	1014.5167359455553	897.196985565595	713.0505868362562	778.0668812626236	992.9890602476722	1411.6123129861637	1981.5564510372835	1991.238512708834	1916.370820474932	2265.9909547445573	3903.366329245239	2868.4654765160853	1061.02920085494	1820.7826323172812	1607.9357637233961	1764.693177202857	1763.339666122437	1456.5235385118901
Smp_000390	6.945173680218076	8.917292162019377	6.0061555607377946	2.9760254496948164	3.0049743623736034	2.013918032007255	8.005435764945357	6.859664174187453	0.9984851941909251	1.0061937202078735	5.133102840030126	23.581501504645118	14872.387023847588	11862.805124113658	203.12939369539072	1298.468882104131	206.0934866682517	9962.997453421873	22.981959111715984	59.697764944573706	21.810529174099756	19.9335449833325	6.1780389885117515
Smp_000420	17.95380833913348	33.8796547916632	26.960687545472098	25.934335105429657	23.004203068457965	59.12633822766484	66.00206667774376	49.6106779954078	54.96881911687709	58.15448110591858	56.136239604528996	164.71359294586847	52031.205010203645	43719.28334414874	1210.8080353021962	8113.329954564771	1625.6963946589487	43939.806883404184	125.76765894075618	286.0860532454717	158.3738034892976	114.73403020062916	53.398770112722666
Smp_000430	21.90903319900847	23.8726361315083	26.98076030861268	18.919499796842217	16.007996381677795	258.9942648381851	205.05248595691273	110.72926149892562	122.9108152194464	216.82213467541794	164.64897945410038	119.71292022472895	73063.5340721253	59539.43838424931	953.9667730410229	6407.803471676201	734.7701864496362	49675.65336617106	105.81569448719603	268.9754895126029	158.14279589955802	126.38988046414003	55.782424586674814
Smp_000470	1954.883363473072	775.9111068297893	1626.5112845823562	2450.887515656979	2732.5025700293395	1317.398041526145	928.7883151270808	767.1815899406511	1112.4038875388462	1665.4345848666076	1353.4872591291205	1516.099561639158	591.1226823148114	565.0477182006009	1335.741732609191	1957.8826465668756	1957.389328006702	513.3500984225591	1220.6918190021142	1007.1922471512443	930.0689648597695	887.2901395319597	852.9655364584489
