gene_id	Intercept	condition_cercaria_male_vs_cercaria_female	condition_cercaria_mixed_vs_cercaria_female	condition_egg_mixed_vs_cercaria_female	condition_juvenile_26d_female_vs_cercaria_female	condition_juvenile_26d_male_vs_cercaria_female	condition_miracidium_mixed_vs_cercaria_female	condition_schistosomulum_2d_female_vs_cercaria_female	condition_schistosomulum_2d_male_vs_cercaria_female	condition_schistosomulum_2d_mixed_vs_cercaria_female	condition_sporocyst_1d_mixed_vs_cercaria_female	condition_sporocyst_32d_female_vs_cercaria_female	condition_sporocyst_32d_male_vs_cercaria_female	condition_sporocyst_32d_mixed_vs_cercaria_female	condition_sporocyst_5d_mixed_vs_cercaria_female
Smp_000020	12.0021706685371	-0.271196330993626	0.0197299762120286	-0.0607205628489904	0.0827792318049253	-0.00586282732155326	-0.63312785501739	-0.028842664407965	-0.546339827861999	-0.205777367440981	0.536789613475523	0.0759143256360366	0.111265383837984	0.0358659013962925	0.256643850248255
Smp_000030	13.7994591253431	0.377148282150916	0.0843236839353557	0.0405510165848346	0.356233987670614	0.290600752611614	0.193309818364845	0.248693504107991	0.0572332320104835	0.21104365503759	0.983641794441138	0.11916523101892	0.30607300395109	0.319660842108747	0.653716919415512
Smp_000040	12.671085786415	-0.128690904660231	-0.207616566816074	-0.0279402379985235	0.516028916207134	0.570393421388768	-0.559306804472973	0.449086554709204	0.499522393439047	0.432164932874428	0.118878078593839	-0.201527861931967	-0.161832097797815	-0.295719703554538	-0.391670243454549
Smp_000050	10.1688733791859	-0.264201728503614	-0.390676203752045	0.256645265029391	-0.150707098697981	-0.130056960273977	-0.0259378761584468	1.25598007289963	1.47638166841917	1.58882705209873	1.5820102870108	-0.712132662304444	-0.566886047300369	-0.0148352917425234	1.36402960344561
Smp_000070	11.4085809045411	-0.16816600934501	0.105149970426046	0.454199168815889	0.349687957046083	0.167770059562147	1.9970622016241	0.407987155926105	-0.0501770447067938	0.230113178272526	1.29976374591107	0.43344262457901	0.188162319467931	0.456131008861883	1.63373492064887
Smp_000075	1.9905155475606	-1.36536513491476	-1.02815386255237	-0.418071865356779	-2.90339935166561	-2.85920762205913	-3.88764404130202	3.65329551696372	1.41181158644605	1.73320755299125	2.93155372775668	2.80710038307213	2.16237406473108	1.30899399954444	0.467431484894082
Smp_000080	5.05285376669845	1.84516549152309	0.41454343315976	-0.0472332895500846	-1.29306404052703	-1.53500689335865	-0.689545604686219	-0.182850564089177	-1.12957844043803	-0.802684286275305	0.0298165274221195	-0.755249549191016	-1.10850213465914	-2.45266253853882	-1.14281355580363
Smp_000100	14.8281487997268	-0.10172607385586	0.0348605386555992	-2.11238917046596	-0.689356203120648	-0.231222403435477	-2.92632362348244	-2.14772146388652	-1.90587743360135	-2.31881372804533	-2.33098616780733	-1.27486871848629	-1.33755653326268	-1.49331976567061	-2.04387810432018
Smp_000110	11.7462401837561	-0.28555617124586	0.0136174071445238	-0.727489170702112	-0.893380025317955	-1.23310080251453	-1.0925511330386	-0.479241994161467	-0.806770907976341	-0.592090283152366	-0.393386795130028	-0.991754132376754	-0.959436766020219	-0.728212952820093	-0.5379569676648
Smp_000130	12.6494287672587	-0.436747653886363	-0.127314135077043	-0.537195642122713	-0.433315847291352	-0.171414648212019	-0.446104862696289	-0.408031375283461	-0.728839706065161	-0.627803688545722	-0.406295003698344	-1.35753331628594	-1.45205245584312	-0.976278790246173	-0.392867232567214
Smp_000150	13.0827315209976	-0.393511877884704	-0.125856598939157	-0.581796951696007	-1.10477227288331	-1.64197137580363	-0.29265380072906	-0.940355076697573	-1.75307985163654	-1.33547118664476	-0.53447204351002	-1.48146043202732	-1.18862540872018	-1.34474408659602	-1.24670377158724
Smp_000160	8.96983397583777	-0.348775223476679	-0.168507597661588	1.31183944950391	1.68098099176408	1.53915915818602	0.214544651459972	1.08300732216371	1.1729979537464	0.949906869405805	0.218208712282737	1.60391841314246	1.58062654491455	1.02894864549383	1.77425436737476
Smp_000180	6.31068286085529	-0.577481055304885	-0.0751208722580965	2.24309330519911	1.47833184076245	3.93980378721669	0.892351692296991	-1.8067327243155	-0.590455848346387	-1.4279205143583	-0.0645185343862468	1.9840926200881	1.47366855467654	0.543603723660959	-2.75091960285633
Smp_000190	9.86737612964119	0.247569173126092	-0.434890010255401	-0.488586055496837	2.68018136678256	2.15066147322257	0.811634668533784	0.900020133287017	0.911161796739978	1.01628398618349	0.369212169744369	-0.238697291154378	-0.149146368347769	-0.0338328879823478	0.438587262811022
Smp_000200	11.0919619912424	-0.151675370125207	-0.0127205666134187	0.368549153502165	0.398438505654966	0.109664906415397	0.0195659045311362	-0.753863866407727	-0.844177027680361	-0.897321613906859	0.507136368681498	0.150587767823284	0.181954565095247	0.801076172018477	0.4415442463927
Smp_000230	11.7445954569572	-0.334511918273228	-0.36327075078296	0.137148857802023	-0.433315070600449	-0.517627627166932	-0.425492066652561	-0.888184932725443	-1.35616636086956	-1.00332851887284	-1.67566282570417	-0.702824084499623	-0.741080866999595	-0.462198293948162	-0.294532285941445
Smp_000240	13.5343883711075	-0.00594645811376505	-0.0544775506364781	-0.0556733141023387	0.617350896957016	0.1283327465025	0.906257089161839	0.600530407249047	0.00839685506818552	0.328119123069687	0.364042947360247	0.714681599624002	0.861325497811015	0.85100902360533	1.19115603264279
Smp_000260	14.7535042869402	0.424790327578789	-0.00989962276888558	-0.622662095033443	1.01805295112962	1.04951257345511	-0.902055678717286	-0.18868790930924	-0.00117048209694105	-0.294353319530502	-0.444373774704696	-0.16223342503206	0.099702389295582	0.173616249962629	-0.395733294337671
Smp_000270	2.85813818736713	0.739139694704911	-0.80876207507011	0.334250730477345	2.12564217659429	-1.84966369364919	0.375155560258669	-1.64576841732123	-2.06273513082703	-2.55587996960484	-0.792076592083017	0.141269231000807	0.88442583362527	-0.381310286291403	1.89642085786277
