gene_id	dispersion
Smp_000020	0.0597499064704942
Smp_000030	0.0376993589670025
Smp_000040	0.0208271114649278
Smp_000050	0.0767976698662872
Smp_000070	0.0616400146851043
Smp_000075	0.475200312920829
Smp_000080	0.428612109485952
Smp_000100	0.0900357545445808
Smp_000110	0.0379840495551372
Smp_000130	0.0467103730967034
Smp_000150	0.0598376961479483
Smp_000160	0.0284387600614418
Smp_000180	0.0970684554135823
Smp_000190	0.0472352086298171
Smp_000200	0.033640929702255
Smp_000230	0.0500326861539321
Smp_000240	0.0279664658178983
Smp_000260	0.0207109693503545
Smp_000270	0.378976335499559
Smp_000280	1.08099168258162
Smp_000300	0.0757199674163054
Smp_000310	0.119686609632536
Smp_000320	0.104758260585182
Smp_000340	0.0639228988772718
Smp_000370	0.188197605199175
Smp_000390	4.34778380998075
Smp_000420	1.08529869332842
Smp_000430	1.01801167285119
Smp_000470	0.0152014867909483
Smp_000480	0.015205073500999
Smp_000500	0.250231431003595
Smp_000510	0.0233277436797839
Smp_000580	0.110536031869204
Smp_000590	0.0701285805983858
Smp_000600	0.0205431145994322
Smp_000620	0.117859306979367
Smp_000630	0.0850848665894353
Smp_000640	0.0904784065636762
Smp_000650	0.0150993949615053
Smp_000660	0.038425868475573
Smp_000670	0.0192579562031298
Smp_000680	0.0326197635652592
Smp_000690	0.190215699871066
Smp_000700	0.0203291101628054
Smp_000710	0.00924112401315298
Smp_000720	0.0455755206578244
Smp_000740	0.0140426595294907
Smp_000755	0.0322140074975681
Smp_000790	0.0212752295139217
Smp_000810	0.0553671827786523
Smp_000820	0.165486265929607
Smp_000830	0.155185783001995
Smp_000850	0.0159577992031573
Smp_000870	0.0191266835450172
Smp_000880	0.166219740937931
Smp_000900	0.0402779139477799
Smp_000910	0.130768371013743
Smp_000950	0.10759147437099
Smp_000980	0.0555370842560343
Smp_000990	0.0218576901998101
Smp_001000	0.16267498019717
Smp_001020	0.032193968476429
Smp_001030	0.00476709055670216
Smp_001040	0.0438937148227961
Smp_001070	0.0517734636152272
Smp_001080	0.201747655188445
Smp_001090	0.0294837491151959
Smp_001095	0.0109631696434676
Smp_001100	0.144263037733652
Smp_001120	0.0856290169384821
Smp_001160	0.0952487867588134
Smp_001170	0.0555804475453145
Smp_001180	0.0757470367886645
Smp_001210	0.126926601702593
Smp_001360	0.085704798912602
Smp_001390	0.0110953199966055
Smp_001410	0.127289965231056
Smp_001420	0.0316012921403852
Smp_001500	0.0869185212748832
Smp_001530	0.0222572023688289
Smp_001560	0.0687736976046555
Smp_001590	0.0626629930634802
Smp_001610	0.0984954083498732
Smp_001640	0.158381244924737
Smp_001780	0.0662875570279549
Smp_001830	0.122432867128493
Smp_001890	0.346007612866856
Smp_001900	0.0687898364876536
Smp_001940	0.0529668293971626
Smp_001950	0.0300446529330773
Smp_001960	0.0216618778531729
Smp_001980	0.188987189767231
Smp_002010	0.0873994593060135
Smp_002060	0.37152978655471
Smp_002070	0.308939709091341
Smp_002080	0.0221054701656807
Smp_002100	0.0852536467753041
Smp_002160	0.0174720594536729
Smp_002180	0.0560190124993116
Smp_002230	0.0527841040769369
Smp_002280	0.042410876387168
Smp_002380	0.0721688406043545
Smp_002410	0.0578428334179042
Smp_002510	0.0796621992954386
Smp_002550	0.133326256127514
Smp_002600	0.0178851147606171
Smp_002630	0.569275953394957
Smp_002640	0.102404785243726
Smp_002740	0.0964969125723326
Smp_002820	0.0796404730212628
Smp_002840	0.0168160435680117
Smp_002860	44.6985724352104
Smp_002870	0.0154825067702393
Smp_002880	0.0347767535895625
Smp_002920	0.0434923678294414
Smp_002950	0.148413230131902
Smp_003000	0.00409538613509542
Smp_003130	0.0454064249745723
Smp_003140	0.0342275605599304
Smp_003190	0.150917288436881
Smp_003230	0.169786760834237
Smp_003250	0.0525604490237993
Smp_003270	0.0321105336215765
Smp_003280	0.100652952485245
Smp_003300	0.688031716862597
Smp_003330	0.219073980112639
Smp_003340	0.0291419010875963
Smp_003410	0.0288977337221992
Smp_003440	0.0618217972074222
Smp_003600	0.300564503181007
Smp_003610	0.176458430191402
Smp_003620	0.00985074053018531
Smp_003630	0.0258134576580783
Smp_003660	0.031649425775823
Smp_003670	0.008859120609873
Smp_003700	0.17088638163457
Smp_003710	0.012506428147048
Smp_003770	0.0748777384435198
Smp_003860	0.0691397888040557
Smp_003900	0.120643909806667
Smp_003930	0.0834012776036432
Smp_003940	0.0171046258879066
Smp_003970	0.0893353135216683
Smp_003980	0.0307936181505887
Smp_003990	0.077146783290779
Smp_004000	0.0981317330965937
Smp_004060	0.282617991793147
Smp_004070	0.0757561200423405
Smp_004080	0.032558998435484
Smp_004160	0.216878797212673
Smp_004170	0.0247346307433406
Smp_004190	0.0358130607663638
Smp_004200	0.017812444543281
Smp_004220	0.0344045491145836
Smp_004260	0.0335989785925913
Smp_004310	0.146263115291446
Smp_004350	0.107964229853307
Smp_004360	0.0610656373676625
Smp_004420	0.178976389451011
Smp_004440	0.0825587975837382
Smp_004470	0.0743528661783147
Smp_004480	0.0256949535297026
Smp_004550	0.0542536550185972
Smp_004590	0.0570093109199205
Smp_004600	0.0273424199679787
Smp_004630	0.0401915940182505
Smp_004640	0.0405195150633307
Smp_004680	0.0212462737876981
Smp_004690	0.122711855755581
Smp_004710	0.075539024508024
Smp_004730	0.086468810681318
Smp_004780	0.0254119517372238
Smp_004810	0.0323704051684226
Smp_004820	0.193160490012628
Smp_004910	0.0174041000509919
Smp_004940	0.164725570594882
Smp_004990	0.0297289382045378
Smp_005000	0.0177313667504158
Smp_005010	0.0181282029305195
Smp_005020	0.0286506837146459
Smp_005070	0.0630760802030461
Smp_005080	0.019452695887126
Smp_005140	0.306986783539429
Smp_005160	0.0727886545706184
Smp_005180	0.0139064872190822
Smp_005190	0.0352037266606018
Smp_005210	0.0170907544938833
Smp_005230	0.0323955166938487
Smp_005260	0.0265303959636709
Smp_005280	0.0119990821365114
Smp_005290	0.0762177981512074
Smp_005320	0.0952493993508171
Smp_005330	0.0168746611222765
Smp_005390	0.0108852657630107
Smp_005470	0.201870708509925
Smp_005500	0.0529196993473917
Smp_005520	0.0432763857834203
Smp_005640	0.0153819040389259
Smp_005670	0.0373653915517483
Smp_005720	0.151087600071074
Smp_005780	0.0312687424860025
Smp_005790	0.0659986842533101
Smp_005880	0.0631880197846266
Smp_005900	0.0501602842067242
Smp_005910	0.0140334893777444
Smp_005960	0.0587674111842524
Smp_006000	0.0224106688116146
Smp_006060	0.0268548974048844
Smp_006190	0.0244118923982257
Smp_006195	0.192891533270375
Smp_006250	0.0621202512762594
Smp_006320	0.0236662773796772
Smp_006340	0.0251384357340347
Smp_006350	0.0747416032067549
Smp_006390	0.182103762128567
Smp_006440	0.0691108279685697
Smp_006550	0.0817858771200976
Smp_006560	0.131280689405907
Smp_006590	0.0212240998509623
