gene_id	baseMean	log2FoldChange	lfcSE	statistic	pvalue	padj	contrast	design
Smp_169090	1031.42135420189	5.00445545991141	0.124489656771438	40.1997691189682	0	0	condition__adult_pzq_vs_juvenile_pzq	~ condition
Smp_155310	3566.73163552128	5.83770101231762	0.160091215813384	36.4648427626568	4.00279402034694e-291	1.89172045401596e-287	condition__adult_pzq_vs_juvenile_pzq	~ condition
Smp_331690	1217.98204003839	7.81902286319954	0.224195513059544	34.875911460025	1.72396429645341e-266	5.4316368433592e-263	condition__adult_pzq_vs_juvenile_pzq	~ condition
Smp_173150	3237.48692344155	3.31237308731292	0.0999071643985776	33.1545100619439	4.87617403298837e-241	1.15223992399515e-237	condition__adult_pzq_vs_juvenile_pzq	~ condition
Smp_074710	404.256998898843	4.48301110837379	0.161019941647713	27.8413410320438	1.37126170283797e-170	2.5922331230449e-167	condition__adult_pzq_vs_juvenile_pzq	~ condition
Smp_054010	1232.25692221099	4.23194486550092	0.161314726034203	26.2340889114093	1.0858246534874e-151	1.71053577079382e-148	condition__adult_pzq_vs_juvenile_pzq	~ condition
Smp_194830	2577.84848387203	-2.37865409250315	0.0921896894971546	-25.8017366744311	8.47797220694953e-147	1.14476847571553e-143	condition__adult_pzq_vs_juvenile_pzq	~ condition
Smp_166560	476.91362085849	4.96780867256602	0.192610268822115	25.7920239816187	1.08960882881672e-146	1.28737283124696e-143	condition__adult_pzq_vs_juvenile_pzq	~ condition
Smp_012930	3111.32502503954	1.80378335509492	0.0714241108988434	25.2545440523521	1.00960191335532e-140	1.06030636500383e-137	condition__adult_pzq_vs_juvenile_pzq	~ condition
Smp_181390	1099.62474545211	3.00003130943455	0.1226304053144	24.4640087565809	3.57052176971113e-132	3.37485717673096e-129	condition__adult_pzq_vs_juvenile_pzq	~ condition
Smp_202970	315.825720323582	7.1822377934455	0.303739318406157	23.6460588347061	1.29582670853995e-123	1.11346854991996e-120	condition__adult_pzq_vs_juvenile_pzq	~ condition
Smp_346170	591.67435850656	3.41648676094781	0.144807208632311	23.5933472733586	4.51048213705927e-123	3.55275642995702e-120	condition__adult_pzq_vs_juvenile_pzq	~ condition
Smp_025830	3774.71882511956	0.982975223281856	0.041771180732477	23.5323782101662	1.90218437399217e-122	1.38303436176723e-119	condition__adult_pzq_vs_juvenile_pzq	~ condition
