run_accession	biological_sample_id	biosample	technical_unit	r1_file	r2_file	condition	sex	tissue_context	pairing_state	replicate
ERR11178331	f_26d_juveniles_r1	SAMEA7225787	lane_1	ERR11178331_1.fastq.gz	ERR11178331_2.fastq.gz	juvenile_26d_female	female	whole_organism	not_applicable	1
ERR11178421	f_26d_juveniles_r1	SAMEA7225787	lane_2	ERR11178421_1.fastq.gz	ERR11178421_2.fastq.gz	juvenile_26d_female	female	whole_organism	not_applicable	1
ERR11178269	f_26d_juveniles_r2	SAMEA7225789	lane_1	ERR11178269_1.fastq.gz	ERR11178269_2.fastq.gz	juvenile_26d_female	female	whole_organism	not_applicable	2
ERR11178359	f_26d_juveniles_r2	SAMEA7225789	lane_2	ERR11178359_1.fastq.gz	ERR11178359_2.fastq.gz	juvenile_26d_female	female	whole_organism	not_applicable	2
ERR11178279	f_26d_juveniles_r3	SAMEA7225790	lane_1	ERR11178279_1.fastq.gz	ERR11178279_2.fastq.gz	juvenile_26d_female	female	whole_organism	not_applicable	3
ERR11178369	f_26d_juveniles_r3	SAMEA7225790	lane_2	ERR11178369_1.fastq.gz	ERR11178369_2.fastq.gz	juvenile_26d_female	female	whole_organism	not_applicable	3
ERR11178289	f_26d_juveniles_r4	SAMEA7225793	lane_1	ERR11178289_1.fastq.gz	ERR11178289_2.fastq.gz	juvenile_26d_female	female	whole_organism	not_applicable	4
ERR11178379	f_26d_juveniles_r4	SAMEA7225793	lane_2	ERR11178379_1.fastq.gz	ERR11178379_2.fastq.gz	juvenile_26d_female	female	whole_organism	not_applicable	4
ERR11178298	f_26d_juveniles_r5	SAMEA7225796	lane_1	ERR11178298_1.fastq.gz	ERR11178298_2.fastq.gz	juvenile_26d_female	female	whole_organism	not_applicable	5
ERR11178388	f_26d_juveniles_r5	SAMEA7225796	lane_2	ERR11178388_1.fastq.gz	ERR11178388_2.fastq.gz	juvenile_26d_female	female	whole_organism	not_applicable	5
ERR11178285	f_2d_somules_r1	SAMEA7225761	lane_1	ERR11178285_1.fastq.gz	ERR11178285_2.fastq.gz	schistosomulum_2d_female	female	whole_organism	not_applicable	1
ERR11178375	f_2d_somules_r1	SAMEA7225761	lane_2	ERR11178375_1.fastq.gz	ERR11178375_2.fastq.gz	schistosomulum_2d_female	female	whole_organism	not_applicable	1
ERR11178294	f_2d_somules_r2	SAMEA7225763	lane_1	ERR11178294_1.fastq.gz	ERR11178294_2.fastq.gz	schistosomulum_2d_female	female	whole_organism	not_applicable	2
