run_accession	sample_id	R1_bytes	R2_bytes	total_run_bytes
ERR11178377	m_2d_somules_r4	363659304	422064994	785724298
ERR11178296	m_2d_somules_r5	582570949	652915406	1235486355
ERR11178386	m_2d_somules_r5	583388290	672514950	1255903240
ERR11178305	x_2d_somules_r1	988104910	1088620951	2076725861
ERR11178395	x_2d_somules_r1	954573958	1112375302	2066949260
ERR11178314	x_2d_somules_r2	1057229371	1152489772	2209719143
ERR11178404	x_2d_somules_r2	1035707268	1168111442	2203818710
ERR11178323	x_2d_somules_r3	1412992479	1561406929	2974399408
ERR11178413	x_2d_somules_r3	1375381717	1566414378	2941796095
ERR11178281	x_2d_somules_r4	589460726	691462251	1280922977
ERR11178371	x_2d_somules_r4	565691356	697297054	1262988410
ERR11178291	x_2d_somules_r5	392522705	435667976	828190681
ERR11178381	x_2d_somules_r5	383576293	448350094	831926387
ERR11178331	f_26d_juveniles_r1	988456960	1123190956	2111647916
ERR11178421	f_26d_juveniles_r1	928789201	1153559215	2082348416
ERR11178269	f_26d_juveniles_r2	478072794	533655835	1011728629
ERR11178359	f_26d_juveniles_r2	474012712	540895716	1014908428
ERR11178279	f_26d_juveniles_r3	431603925	482490650	914094575
ERR11178369	f_26d_juveniles_r3	420794162	489980647	910774809
ERR11178289	f_26d_juveniles_r4	283410370	309370544	592780914
ERR11178379	f_26d_juveniles_r4	278149612	315234439	593384051
ERR11178298	f_26d_juveniles_r5	805879453	902867605	1708747058
ERR11178388	f_26d_juveniles_r5	806570971	923537352	1730108323
ERR11178307	m_26d_juveniles_r1	343221718	387910240	731131958
ERR11178397	m_26d_juveniles_r1	344242031	392931972	737174003
ERR11178316	m_26d_juveniles_r2	518349054	567384690	1085733744
ERR11178406	m_26d_juveniles_r2	520477588	599248788	1119726376
ERR11178324	m_26d_juveniles_r3	833183234	920238568	1753421802
ERR11178414	m_26d_juveniles_r3	835597653	961387209	1796984862
ERR11178333	m_26d_juveniles_r4	723487670	829464790	1552952460
ERR11178423	m_26d_juveniles_r4	719176174	871253173	1590429347
ERR11178271	m_26d_juveniles_r5	803679704	893473600	1697153304
ERR11178361	m_26d_juveniles_r5	790489478	901118839	1691608317
