run_accession	sample_id	mate	filename	expected_bytes	observed_bytes	expected_md5	observed_md5	observed_sha256	gzip	status
ERR11178360	x_5d_sporocysts_r2	1	ERR11178360_1.fastq.gz	715944599	715944599	9b3433e43b8ee3bc4cf1906ac1ebbf53	9b3433e43b8ee3bc4cf1906ac1ebbf53	66684353751f7a9eb79ea0095b2902bdf9c30ff874d23bc41d6c4e96bb1f91a5	PASS	PASS
ERR11178360	x_5d_sporocysts_r2	2	ERR11178360_2.fastq.gz	845612021	845612021	03065e78d4d9b55af59cc5d88b1fb909	03065e78d4d9b55af59cc5d88b1fb909	2a0b43999116a1ce43e18babe6c4e9fdfb3c8beb1bb15882e7bfec89c4743085	PASS	PASS
ERR11178280	x_5d_sporocysts_r3	1	ERR11178280_1.fastq.gz	874461327	874461327	9b45ddb7f50056bd127ac6baeaac2dcd	9b45ddb7f50056bd127ac6baeaac2dcd	c41fecc2125c2a5f43564e1965fe6fe512f3c92eab10018a7ae01865f524fc42	PASS	PASS
ERR11178280	x_5d_sporocysts_r3	2	ERR11178280_2.fastq.gz	985686538	985686538	9d4552632a1e9ec264421cba41484609	9d4552632a1e9ec264421cba41484609	7d2ad5638aea556579b94edf72292c01f8c50e56769e33f8f8adc1606e777c1b	PASS	PASS
ERR11178370	x_5d_sporocysts_r3	1	ERR11178370_1.fastq.gz	871945918	871945918	f5a2deb35ba02b731489b6a8be48c963	f5a2deb35ba02b731489b6a8be48c963	4e9aa74249dd82dd7a27c2ecdec2ad00f6ca031e05e401b81c58fcd1c38d2211	PASS	PASS
ERR11178370	x_5d_sporocysts_r3	2	ERR11178370_2.fastq.gz	1019476508	1019476508	2ad27974a3252dfaaed9a102e0ac9888	2ad27974a3252dfaaed9a102e0ac9888	2b5ad7050cd9989202e0d4cff4df9cffe6546100c1f84d03f38ef87e34604e7c	PASS	PASS
ERR11178290	x_5d_sporocysts_r4	1	ERR11178290_1.fastq.gz	939932362	939932362	56a4581a7562e7341543f2124ff63d72	56a4581a7562e7341543f2124ff63d72	59dfdd272dc973f39bc18993504892e4072052c45f1f47726086510e236b3491	PASS	PASS
ERR11178290	x_5d_sporocysts_r4	2	ERR11178290_2.fastq.gz	1003219910	1003219910	59036784ad180f6dbe73191c175af63f	59036784ad180f6dbe73191c175af63f	326831e8c5c5dd0523fb7eb84d02a4d92f91b78a4ad5be3d74b9236ea8b3595a	PASS	PASS
ERR11178380	x_5d_sporocysts_r4	1	ERR11178380_1.fastq.gz	915079516	915079516	8b6866133c58264eaa00a267710609c9	8b6866133c58264eaa00a267710609c9	fbea5828bd7269a690d1e911c1ce864a9ed7ad5e779b7cfee1c1127c7127cd23	PASS	PASS
ERR11178380	x_5d_sporocysts_r4	2	ERR11178380_2.fastq.gz	1024530196	1024530196	74f2d5e749536a69ef8e2935b1e41dc6	74f2d5e749536a69ef8e2935b1e41dc6	b0b766d8044b3c75ffbbec7e5f414bcdee79305c48aeab092d255f7bde5a671c	PASS	PASS
ERR11178299	x_5d_sporocysts_r5	1	ERR11178299_1.fastq.gz	919123865	919123865	93b99b500af0d5fc0c8e694bde2e60b6	93b99b500af0d5fc0c8e694bde2e60b6	f58a3a1ad08812176f0999491a8b336aa221f5026f7ffa02f983d7fee553d696	PASS	PASS
ERR11178299	x_5d_sporocysts_r5	2	ERR11178299_2.fastq.gz	1024159576	1024159576	73787958c4dd8c77699191c97c84fee5	73787958c4dd8c77699191c97c84fee5	86fd7534593851fbd6a13054b0aa6eacbc81fe4fd47aad84e1792e2723dec13b	PASS	PASS
ERR11178389	x_5d_sporocysts_r5	1	ERR11178389_1.fastq.gz	930790616	930790616	bc9e950b20a18723b2bce95673c616c2	bc9e950b20a18723b2bce95673c616c2	f8242f6c9c0e2c980e3ca959ee4be9026654619dced9ab5f751aa714941c69b1	PASS	PASS
ERR11178389	x_5d_sporocysts_r5	2	ERR11178389_2.fastq.gz	1056200371	1056200371	f8eaa4669f13d2ac0cc4f86aa5e6139a	f8eaa4669f13d2ac0cc4f86aa5e6139a	a12104211a922a628367cfd6268cf1ea1c9eb1f261ec36b69e3e82f9d5a9936f	PASS	PASS
ERR11178308	f_32d_sporocysts_r1	1	ERR11178308_1.fastq.gz	808558320	808558320	0498d7cec2b7197c3f16256b87840dd5	0498d7cec2b7197c3f16256b87840dd5	6148eafd05dc867c1ec239e3e71e01939f9cd87264ea63c27039d09eb8ecd1c3	PASS	PASS
ERR11178308	f_32d_sporocysts_r1	2	ERR11178308_2.fastq.gz	856986072	856986072	beb2a9dd058380292ae5d69e9d470453	beb2a9dd058380292ae5d69e9d470453	bf07c34bfd741fd5088a6c422cfab13f5fcd76116c4d0eef5e23ff959eae3483	PASS	PASS
ERR11178398	f_32d_sporocysts_r1	1	ERR11178398_1.fastq.gz	795425466	795425466	81232e3c77fe5d3ea91c404fc3fb6673	81232e3c77fe5d3ea91c404fc3fb6673	57f9d7042f5e22dbfbb1983e263d3d375c6b066a033429e2b5abae43d2a3a125	PASS	PASS
ERR11178398	f_32d_sporocysts_r1	2	ERR11178398_2.fastq.gz	861400702	861400702	03fcc252352241125eff6d6d115fb9ea	03fcc252352241125eff6d6d115fb9ea	f625b538d18b0a7b5e528a30517b45f8608c52e091cc84e68b16bd6db832c74c	PASS	PASS
ERR11178317	f_32d_sporocysts_r2	1	ERR11178317_1.fastq.gz	933665584	933665584	ed1f64a6be6982b4ac79cf38ded0c5fd	ed1f64a6be6982b4ac79cf38ded0c5fd	83426d1daae8660ffecf457dd139758b11ea041ffa1745cd30822eca731e6c49	PASS	PASS
ERR11178317	f_32d_sporocysts_r2	2	ERR11178317_2.fastq.gz	992373321	992373321	2b42de0f74866fa50b7fa7b06db8b7bc	2b42de0f74866fa50b7fa7b06db8b7bc	a37ad20df74e7b1f6c80f5f87628abdf1ca2f93639f1eccd5ef88a3339448d4e	PASS	PASS
ERR11178407	f_32d_sporocysts_r2	1	ERR11178407_1.fastq.gz	921286230	921286230	b4bc3dcc5094e33667f59e641b717097	b4bc3dcc5094e33667f59e641b717097	a3165256a5d7a14a5e0513c864fbc4b7fc825da47a0d280b080fd8e84780acaf	PASS	PASS
ERR11178407	f_32d_sporocysts_r2	2	ERR11178407_2.fastq.gz	1006830975	1006830975	0e6296b7ea23495fcee236e24c59ceb7	0e6296b7ea23495fcee236e24c59ceb7	a8339bf9568c450013333a03ca6e312234d008954a4a346c01c3448090434f81	PASS	PASS
ERR11178325	f_32d_sporocysts_r3	1	ERR11178325_1.fastq.gz	1257881008	1257881008	4c203961c4ff3db8d93aa8b970e84c5f	4c203961c4ff3db8d93aa8b970e84c5f	5b54cddcf9e1774669009de49e1eec8ff4c0559f5525dd4a856d4c0290a0cbfe	PASS	PASS
ERR11178325	f_32d_sporocysts_r3	2	ERR11178325_2.fastq.gz	1375044964	1375044964	adaaf31d7868979a3e9981cb236bf0ff	adaaf31d7868979a3e9981cb236bf0ff	ef8e05a4c5443cec3cb1faf8438a5966a145f5f9d3f761d1fb4159e72c0268c8	PASS	PASS
ERR11178415	f_32d_sporocysts_r3	1	ERR11178415_1.fastq.gz	1224775137	1224775137	a20140994807ed1cbd9c2ba98897beb5	a20140994807ed1cbd9c2ba98897beb5	bed2dad810b33e6895f048b902b1c180a994e32fb5e041254283e21b675ec813	PASS	PASS
