biological_sample_id	number_of_runs	run_accessions	r1_files	r2_files	biological_group	sex	tissue_context	pairing_state	replicate	aggregation_policy	deseq2_observation
f_26d_juveniles_r1	2	ERR11178331;ERR11178421	ERR11178331_1.fastq.gz;ERR11178421_1.fastq.gz	ERR11178331_2.fastq.gz;ERR11178421_2.fastq.gz	juvenile_26d_female	female	whole_organism	not_applicable	1	trim_each_run_then_concatenate_by_mate_before_salmon	f_26d_juveniles_r1
f_26d_juveniles_r2	2	ERR11178269;ERR11178359	ERR11178269_1.fastq.gz;ERR11178359_1.fastq.gz	ERR11178269_2.fastq.gz;ERR11178359_2.fastq.gz	juvenile_26d_female	female	whole_organism	not_applicable	2	trim_each_run_then_concatenate_by_mate_before_salmon	f_26d_juveniles_r2
f_26d_juveniles_r3	2	ERR11178279;ERR11178369	ERR11178279_1.fastq.gz;ERR11178369_1.fastq.gz	ERR11178279_2.fastq.gz;ERR11178369_2.fastq.gz	juvenile_26d_female	female	whole_organism	not_applicable	3	trim_each_run_then_concatenate_by_mate_before_salmon	f_26d_juveniles_r3
f_26d_juveniles_r4	2	ERR11178289;ERR11178379	ERR11178289_1.fastq.gz;ERR11178379_1.fastq.gz	ERR11178289_2.fastq.gz;ERR11178379_2.fastq.gz	juvenile_26d_female	female	whole_organism	not_applicable	4	trim_each_run_then_concatenate_by_mate_before_salmon	f_26d_juveniles_r4
f_26d_juveniles_r5	2	ERR11178298;ERR11178388	ERR11178298_1.fastq.gz;ERR11178388_1.fastq.gz	ERR11178298_2.fastq.gz;ERR11178388_2.fastq.gz	juvenile_26d_female	female	whole_organism	not_applicable	5	trim_each_run_then_concatenate_by_mate_before_salmon	f_26d_juveniles_r5
f_2d_somules_r1	2	ERR11178285;ERR11178375	ERR11178285_1.fastq.gz;ERR11178375_1.fastq.gz	ERR11178285_2.fastq.gz;ERR11178375_2.fastq.gz	schistosomulum_2d_female	female	whole_organism	not_applicable	1	trim_each_run_then_concatenate_by_mate_before_salmon	f_2d_somules_r1
f_2d_somules_r2	2	ERR11178294;ERR11178384	ERR11178294_1.fastq.gz;ERR11178384_1.fastq.gz	ERR11178294_2.fastq.gz;ERR11178384_2.fastq.gz	schistosomulum_2d_female	female	whole_organism	not_applicable	2	trim_each_run_then_concatenate_by_mate_before_salmon	f_2d_somules_r2
f_2d_somules_r3	2	ERR11178303;ERR11178393	ERR11178303_1.fastq.gz;ERR11178393_1.fastq.gz	ERR11178303_2.fastq.gz;ERR11178393_2.fastq.gz	schistosomulum_2d_female	female	whole_organism	not_applicable	3	trim_each_run_then_concatenate_by_mate_before_salmon	f_2d_somules_r3
f_2d_somules_r4	2	ERR11178312;ERR11178402	ERR11178312_1.fastq.gz;ERR11178402_1.fastq.gz	ERR11178312_2.fastq.gz;ERR11178402_2.fastq.gz	schistosomulum_2d_female	female	whole_organism	not_applicable	4	trim_each_run_then_concatenate_by_mate_before_salmon	f_2d_somules_r4
f_2d_somules_r5	2	ERR11178321;ERR11178411	ERR11178321_1.fastq.gz;ERR11178411_1.fastq.gz	ERR11178321_2.fastq.gz;ERR11178411_2.fastq.gz	schistosomulum_2d_female	female	whole_organism	not_applicable	5	trim_each_run_then_concatenate_by_mate_before_salmon	f_2d_somules_r5
f_32d_sporocysts_r1	2	ERR11178308;ERR11178398	ERR11178308_1.fastq.gz;ERR11178398_1.fastq.gz	ERR11178308_2.fastq.gz;ERR11178398_2.fastq.gz	sporocyst_32d_female	female	whole_organism	not_applicable	1	trim_each_run_then_concatenate_by_mate_before_salmon	f_32d_sporocysts_r1
