analysis_id	variable	contrast	level_a	level_b	gene_id	group	gene_name	gene_display_label	description	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	biotype	source_file	result_dir	deg_project	deg_mode	contrast_label	padj_num	log2FoldChange_num	neg_log10_padj	significant
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_144180	Writers	Smp_144180	Smp_144180		2917.87617118486	-0.971451920907641	0.297659672174927	-3.26363297321898	0.00109993554718873	0.00232232346597388	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.00232232346597388	-0.971451920907641	2.6340772894623425	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_078900	Writers	Smp_078900	Smp_078900		2009.81033749387	-0.652313957564953	0.20093596341773	-3.24637733569298	0.00116883805592083	0.00245930965711486	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.00245930965711486	-0.652313957564953	2.6091867848402077	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_171150	Writers	Smp_171150	Smp_171150		2852.5025064119	0.419053705303611	0.129894853838544	3.22609936360131	0.00125489782761794	0.00262682997669928	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.00262682997669928	0.419053705303611	2.5805680363006918	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_165000	Writers	Smp_165000	Smp_165000		4224.12638846006	-0.700293918353548	0.21843083984089	-3.20602126908297	0.00134584040327203	0.00280161544063392	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.00280161544063392	-0.700293918353548	2.552591477712789	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_160700	Writers	Smp_160700	Smp_160700		2877.4654408921	-0.768694553314135	0.243216797217074	-3.16053234032214	0.00157481121504078	0.00323694655542724	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.00323694655542724	-0.768694553314135	2.4898644710869697	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_074050	Readers	Smp_074050	Smp_074050		2224.11599618866	-0.734529075970118	0.257695201794021	-2.85037932742433	0.00436671166957754	0.00826390261042077	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.00826390261042077	-0.734529075970118	2.0828148095917856	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_062530	Writers	Smp_062530	Smp_062530		3786.4864984404	-0.561735697958587	0.242456299042692	-2.31685338832825	0.0205117196149803	0.0337754817688369	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.0337754817688369	-0.561735697958587	1.47139844754486	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_156290	Erasers	Smp_156290	Smp_156290		4982.27006344466	-0.501915693547887	0.241091686043414	-2.08184571515048	0.037356564548937	0.0582955414887414	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.0582955414887414	-0.501915693547887	1.234364659321273	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_132170	Erasers	Smp_132170	Smp_132170		2212.38725938966	-0.423947857726859	0.20409110926379	-2.07724804503317	0.0377786715842994	0.058841648913569	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.058841648913569	-0.423947857726859	1.2303151655836941	FALSE
smansoni_prjeb32839_primary	condition	condition__miracidium_mixed_vs_egg_mixed	miracidium_mixed	egg_mixed	Smp_150850	Readers; Writers	Smp_150850	Smp_150850		2849.62204563661	-0.521336239410493	0.276069693998604	-1.88842256409763	0.0589692445119983	0.0879684492064657	protein_coding	DEGs_all_results.tsv	.	.	unknown	. | condition__miracidium_mixed_vs_egg_mixed	0.0879684492064657	-0.521336239410493	1.0556730641280136	FALSE
