gene_id	PRJNA602528__pzq_0h	PRJNA602528__pzq_0p25h	PRJNA602528__pzq_12h	PRJNA602528__pzq_1h	PRJNA602528__pzq_24h	PRJNA602528__pzq_3h	PRJNA602528__pzq_48h	PRJNA602528__pzq_6h	PRJNA602528__pzq_96h	PRJNA602528__pzq_9h
Smp_000020	2154.8991128686584	1808.0953365861544	1996.0710496958666	1786.7334761251984	2091.8627924321704	1695.1945461565463	1627.157338551389	1713.7605516214617	1534.7341397729488	1434.2092168230358
Smp_000030	8632.108927482474	8091.028811576611	7727.814068035397	7268.222858932274	9969.134371852024	7350.03828718499	9818.231855523787	7175.460956390918	9931.101942839841	6061.857532607122
Smp_000040	5708.518339612657	5273.76159133765	4763.025654829382	4629.74745642574	5812.896956488473	3864.3603816953987	5822.519076117972	4043.31582042128	5398.2374179450635	3731.308788044084
Smp_000050	525.2398606326071	485.0438464724465	1285.0175443316336	515.0298234115816	1699.1905120149909	483.44279496144696	1918.550132627342	448.7755367055896	1118.4004880817365	522.8859662935827
Smp_000070	1571.6214326302147	1669.6071851255263	1442.1371013825449	1547.6386993851245	1569.3407693661463	1617.3509900752704	1465.5711128265723	1367.4713156180271	1374.0500219321075	1314.8713482051967
Smp_000075	0	0	0	0	0	0	2.000782868422893	0	0	0.9999717624693746
Smp_000080	11.527799637592555	0	6.412069751453448	0	2.574074336429999	2.7270722779665473	5.2913564792449534	8.633080356881642	0	1.2426848077822175
Smp_000100	9926.801453299175	8895.11453981617	6767.278286051239	8387.719502652539	4156.191743119277	6619.105337515945	2753.7641356178865	5842.015146988835	3197.144868018494	7733.729020769593
Smp_000110	963.6802615992449	865.0437636017667	1139.900356673445	931.4553130616233	1165.7426537539773	985.19602048645	1066.5936897185056	852.4802764581314	959.1268399946375	808.8317171442567
Smp_000130	3899.620742309902	3843.4016390608963	3096.8546603351297	2942.383392225014	2759.848933127343	2067.314341693417	2865.524818585135	2422.3441324071446	3326.974605740127	2287.2934873168365
Smp_000150	1874.5175120879503	1996.565850291834	2182.217044646952	1501.1775585794305	2698.5227526192134	1348.1216237500203	3062.8613533326547	1530.8171259535159	3089.2292464493817	1442.7552845964187
Smp_000160	550.8121468193523	602.0263038907773	402.10976599510343	360.9580940860688	389.8962643257151	269.92079112900393	536.397751437154	250.57759411311866	495.4851361348487	342.69877870956145
Smp_000180	325.952456629861	306.9633781246656	148.0126635706865	189.22001206729166	134.97250114250707	110.97231329548777	106.04123441903319	174.92478408969586	60.04547050584404	159.9844327579924
Smp_000190	1678.3513404821917	1998.1521783641476	2602.7335079017657	2296.3138559553386	2213.2532995263805	2632.182367672818	1578.3642326333195	2581.0717008632423	1387.2180145284522	2344.7016593363196
Smp_000200	1726.8825269091005	1617.153045339515	1289.41372572731	1728.2857103277372	1347.8592714993526	1649.64810520453	2082.703426608081	1349.8850705271218	1730.2921870074285	1455.6089022313495
Smp_000230	1709.9031912520538	1594.1493097120444	1948.8009875285607	1472.1000703530767	1619.957064419423	1524.8022585976523	1753.0497078706462	1631.1156970783652	2178.056277754913	1738.3342307886503
Smp_000240	5136.6982874076075	3784.4990965748493	4612.714646393249	4742.715304084526	6517.47540090576	4599.311995148895	4880.708372981937	4233.349167034786	3222.2214922896146	3292.6958589574397
Smp_000250	0	0	0	0	0	0	0	0	0	0
Smp_000260	45786.21135928534	43544.114254658365	40377.64945034981	41030.392495090004	43853.70258587055	36709.1288744041	48528.72364712936	38088.64846119301	64641.68838305631	38861.37277006067
Smp_000270	6615.144086665619	7788.076369968798	5114.302765618093	6108.291636038591	4254.666783867117	6654.4725654299145	2902.7353535501243	5437.659005891896	411.1712669908934	7582.283677551743
