study	sample	run	layout	stage	sex	tissue	condition	treatment	time	replicate	batch	source
PRJEB32839	f_2d_somules_r3	ERR11178393	PAIRED	schistosomulum_2d	female	whole_organism	schistosomulum_2d_female	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	f_2d_somules_r4	ERR11178312	PAIRED	schistosomulum_2d	female	whole_organism	schistosomulum_2d_female	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	f_2d_somules_r4	ERR11178402	PAIRED	schistosomulum_2d	female	whole_organism	schistosomulum_2d_female	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	f_2d_somules_r5	ERR11178321	PAIRED	schistosomulum_2d	female	whole_organism	schistosomulum_2d_female	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	f_2d_somules_r5	ERR11178411	PAIRED	schistosomulum_2d	female	whole_organism	schistosomulum_2d_female	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	f_32d_sporocysts_r1	ERR11178308	PAIRED	sporocyst_32d	female	whole_organism	sporocyst_32d_female	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	f_32d_sporocysts_r1	ERR11178398	PAIRED	sporocyst_32d	female	whole_organism	sporocyst_32d_female	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	f_32d_sporocysts_r2	ERR11178317	PAIRED	sporocyst_32d	female	whole_organism	sporocyst_32d_female	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	f_32d_sporocysts_r2	ERR11178407	PAIRED	sporocyst_32d	female	whole_organism	sporocyst_32d_female	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	f_32d_sporocysts_r3	ERR11178325	PAIRED	sporocyst_32d	female	whole_organism	sporocyst_32d_female	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	f_32d_sporocysts_r3	ERR11178415	PAIRED	sporocyst_32d	female	whole_organism	sporocyst_32d_female	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	f_32d_sporocysts_r4	ERR11178334	PAIRED	sporocyst_32d	female	whole_organism	sporocyst_32d_female	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	f_32d_sporocysts_r4	ERR11178424	PAIRED	sporocyst_32d	female	whole_organism	sporocyst_32d_female	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	f_32d_sporocysts_r5	ERR11178272	PAIRED	sporocyst_32d	female	whole_organism	sporocyst_32d_female	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	f_32d_sporocysts_r5	ERR11178362	PAIRED	sporocyst_32d	female	whole_organism	sporocyst_32d_female	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	f_cercariae_r1	ERR11178343	PAIRED	cercaria	female	whole_organism	cercaria_female	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	f_cercariae_r1	ERR11178433	PAIRED	cercaria	female	whole_organism	cercaria_female	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	f_cercariae_r2	ERR11178347	PAIRED	cercaria	female	whole_organism	cercaria_female	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	f_cercariae_r2	ERR11178437	PAIRED	cercaria	female	whole_organism	cercaria_female	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	f_cercariae_r3	ERR11178349	PAIRED	cercaria	female	whole_organism	cercaria_female	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	f_cercariae_r3	ERR11178439	PAIRED	cercaria	female	whole_organism	cercaria_female	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	f_cercariae_r4	ERR11178351	PAIRED	cercaria	female	whole_organism	cercaria_female	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	f_cercariae_r4	ERR11178441	PAIRED	cercaria	female	whole_organism	cercaria_female	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	f_cercariae_r5	ERR11178353	PAIRED	cercaria	female	whole_organism	cercaria_female	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	f_cercariae_r5	ERR11178443	PAIRED	cercaria	female	whole_organism	cercaria_female	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	m_26d_juveniles_r1	ERR11178307	PAIRED	juvenile_26d	male	whole_organism	juvenile_26d_male	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	m_26d_juveniles_r1	ERR11178397	PAIRED	juvenile_26d	male	whole_organism	juvenile_26d_male	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	m_26d_juveniles_r2	ERR11178316	PAIRED	juvenile_26d	male	whole_organism	juvenile_26d_male	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	m_26d_juveniles_r2	ERR11178406	PAIRED	juvenile_26d	male	whole_organism	juvenile_26d_male	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	m_26d_juveniles_r3	ERR11178324	PAIRED	juvenile_26d	male	whole_organism	juvenile_26d_male	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	m_26d_juveniles_r3	ERR11178414	PAIRED	juvenile_26d	male	whole_organism	juvenile_26d_male	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	m_26d_juveniles_r4	ERR11178333	PAIRED	juvenile_26d	male	whole_organism	juvenile_26d_male	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	m_26d_juveniles_r4	ERR11178423	PAIRED	juvenile_26d	male	whole_organism	juvenile_26d_male	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	m_26d_juveniles_r5	ERR11178271	PAIRED	juvenile_26d	male	whole_organism	juvenile_26d_male	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	m_26d_juveniles_r5	ERR11178361	PAIRED	juvenile_26d	male	whole_organism	juvenile_26d_male	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	m_2d_somules_r1	ERR11178329	PAIRED	schistosomulum_2d	male	whole_organism	schistosomulum_2d_male	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	m_2d_somules_r1	ERR11178419	PAIRED	schistosomulum_2d	male	whole_organism	schistosomulum_2d_male	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	m_2d_somules_r2	ERR11178267	PAIRED	schistosomulum_2d	male	whole_organism	schistosomulum_2d_male	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	m_2d_somules_r2	ERR11178357	PAIRED	schistosomulum_2d	male	whole_organism	schistosomulum_2d_male	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	m_2d_somules_r3	ERR11178277	PAIRED	schistosomulum_2d	male	whole_organism	schistosomulum_2d_male	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	m_2d_somules_r3	ERR11178367	PAIRED	schistosomulum_2d	male	whole_organism	schistosomulum_2d_male	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	m_2d_somules_r4	ERR11178287	PAIRED	schistosomulum_2d	male	whole_organism	schistosomulum_2d_male	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	m_2d_somules_r4	ERR11178377	PAIRED	schistosomulum_2d	male	whole_organism	schistosomulum_2d_male	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	m_2d_somules_r5	ERR11178296	PAIRED	schistosomulum_2d	male	whole_organism	schistosomulum_2d_male	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	m_2d_somules_r5	ERR11178386	PAIRED	schistosomulum_2d	male	whole_organism	schistosomulum_2d_male	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	m_32d_sporocysts_r1	ERR11178282	PAIRED	sporocyst_32d	male	whole_organism	sporocyst_32d_male	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	m_32d_sporocysts_r1	ERR11178372	PAIRED	sporocyst_32d	male	whole_organism	sporocyst_32d_male	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	m_32d_sporocysts_r2	ERR11178292	PAIRED	sporocyst_32d	male	whole_organism	sporocyst_32d_male	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	m_32d_sporocysts_r2	ERR11178382	PAIRED	sporocyst_32d	male	whole_organism	sporocyst_32d_male	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	m_32d_sporocysts_r3	ERR11178301	PAIRED	sporocyst_32d	male	whole_organism	sporocyst_32d_male	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	m_32d_sporocysts_r3	ERR11178391	PAIRED	sporocyst_32d	male	whole_organism	sporocyst_32d_male	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	m_32d_sporocysts_r4	ERR11178310	PAIRED	sporocyst_32d	male	whole_organism	sporocyst_32d_male	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	m_32d_sporocysts_r4	ERR11178400	PAIRED	sporocyst_32d	male	whole_organism	sporocyst_32d_male	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	m_32d_sporocysts_r5	ERR11178319	PAIRED	sporocyst_32d	male	whole_organism	sporocyst_32d_male	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	m_32d_sporocysts_r5	ERR11178409	PAIRED	sporocyst_32d	male	whole_organism	sporocyst_32d_male	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	m_cercariae_r1	ERR11178274	PAIRED	cercaria	male	whole_organism	cercaria_male	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	m_cercariae_r1	ERR11178364	PAIRED	cercaria	male	whole_organism	cercaria_male	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	m_cercariae_r2	ERR11178284	PAIRED	cercaria	male	whole_organism	cercaria_male	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	m_cercariae_r2	ERR11178374	PAIRED	cercaria	male	whole_organism	cercaria_male	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	m_cercariae_r3	ERR11178293	PAIRED	cercaria	male	whole_organism	cercaria_male	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	m_cercariae_r3	ERR11178383	PAIRED	cercaria	male	whole_organism	cercaria_male	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	m_cercariae_r4	ERR11178302	PAIRED	cercaria	male	whole_organism	cercaria_male	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	m_cercariae_r4	ERR11178392	PAIRED	cercaria	male	whole_organism	cercaria_male	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	m_cercariae_r5	ERR11178311	PAIRED	cercaria	male	whole_organism	cercaria_male	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	m_cercariae_r5	ERR11178401	PAIRED	cercaria	male	whole_organism	cercaria_male	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	x_1d_sporocysts_r1	ERR11178288	PAIRED	sporocyst_1d	mixed	whole_organism	sporocyst_1d_mixed	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	x_1d_sporocysts_r1	ERR11178378	PAIRED	sporocyst_1d	mixed	whole_organism	sporocyst_1d_mixed	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	x_1d_sporocysts_r2	ERR11178297	PAIRED	sporocyst_1d	mixed	whole_organism	sporocyst_1d_mixed	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	x_1d_sporocysts_r2	ERR11178387	PAIRED	sporocyst_1d	mixed	whole_organism	sporocyst_1d_mixed	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	x_1d_sporocysts_r3	ERR11178306	PAIRED	sporocyst_1d	mixed	whole_organism	sporocyst_1d_mixed	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	x_1d_sporocysts_r3	ERR11178396	PAIRED	sporocyst_1d	mixed	whole_organism	sporocyst_1d_mixed	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	x_1d_sporocysts_r4	ERR11178315	PAIRED	sporocyst_1d	mixed	whole_organism	sporocyst_1d_mixed	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	x_1d_sporocysts_r4	ERR11178405	PAIRED	sporocyst_1d	mixed	whole_organism	sporocyst_1d_mixed	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	x_1d_sporocysts_r5	ERR11178264	PAIRED	sporocyst_1d	mixed	whole_organism	sporocyst_1d_mixed	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	x_1d_sporocysts_r5	ERR11178354	PAIRED	sporocyst_1d	mixed	whole_organism	sporocyst_1d_mixed	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	x_2d_somules_r1	ERR11178305	PAIRED	schistosomulum_2d	mixed	whole_organism	schistosomulum_2d_mixed	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	x_2d_somules_r1	ERR11178395	PAIRED	schistosomulum_2d	mixed	whole_organism	schistosomulum_2d_mixed	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	x_2d_somules_r2	ERR11178314	PAIRED	schistosomulum_2d	mixed	whole_organism	schistosomulum_2d_mixed	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	x_2d_somules_r2	ERR11178404	PAIRED	schistosomulum_2d	mixed	whole_organism	schistosomulum_2d_mixed	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	x_2d_somules_r3	ERR11178323	PAIRED	schistosomulum_2d	mixed	whole_organism	schistosomulum_2d_mixed	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	x_2d_somules_r3	ERR11178413	PAIRED	schistosomulum_2d	mixed	whole_organism	schistosomulum_2d_mixed	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	x_2d_somules_r4	ERR11178281	PAIRED	schistosomulum_2d	mixed	whole_organism	schistosomulum_2d_mixed	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	x_2d_somules_r4	ERR11178371	PAIRED	schistosomulum_2d	mixed	whole_organism	schistosomulum_2d_mixed	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	x_2d_somules_r5	ERR11178291	PAIRED	schistosomulum_2d	mixed	whole_organism	schistosomulum_2d_mixed	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	x_2d_somules_r5	ERR11178381	PAIRED	schistosomulum_2d	mixed	whole_organism	schistosomulum_2d_mixed	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	x_32d_sporocysts_r1	ERR11178327	PAIRED	sporocyst_32d	mixed	whole_organism	sporocyst_32d_mixed	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	x_32d_sporocysts_r1	ERR11178417	PAIRED	sporocyst_32d	mixed	whole_organism	sporocyst_32d_mixed	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	x_32d_sporocysts_r2	ERR11178336	PAIRED	sporocyst_32d	mixed	whole_organism	sporocyst_32d_mixed	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	x_32d_sporocysts_r2	ERR11178426	PAIRED	sporocyst_32d	mixed	whole_organism	sporocyst_32d_mixed	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	x_32d_sporocysts_r3	ERR11178341	PAIRED	sporocyst_32d	mixed	whole_organism	sporocyst_32d_mixed	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	x_32d_sporocysts_r3	ERR11178431	PAIRED	sporocyst_32d	mixed	whole_organism	sporocyst_32d_mixed	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	x_32d_sporocysts_r4	ERR11178345	PAIRED	sporocyst_32d	mixed	whole_organism	sporocyst_32d_mixed	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	x_32d_sporocysts_r4	ERR11178435	PAIRED	sporocyst_32d	mixed	whole_organism	sporocyst_32d_mixed	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	x_32d_sporocysts_r5	ERR11178342	PAIRED	sporocyst_32d	mixed	whole_organism	sporocyst_32d_mixed	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	x_32d_sporocysts_r5	ERR11178432	PAIRED	sporocyst_32d	mixed	whole_organism	sporocyst_32d_mixed	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	x_5d_sporocysts_r1	ERR11178332	PAIRED	sporocyst_5d	mixed	whole_organism	sporocyst_5d_mixed	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	x_5d_sporocysts_r1	ERR11178422	PAIRED	sporocyst_5d	mixed	whole_organism	sporocyst_5d_mixed	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	x_5d_sporocysts_r2	ERR11178270	PAIRED	sporocyst_5d	mixed	whole_organism	sporocyst_5d_mixed	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	x_5d_sporocysts_r2	ERR11178360	PAIRED	sporocyst_5d	mixed	whole_organism	sporocyst_5d_mixed	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	x_5d_sporocysts_r3	ERR11178280	PAIRED	sporocyst_5d	mixed	whole_organism	sporocyst_5d_mixed	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	x_5d_sporocysts_r3	ERR11178370	PAIRED	sporocyst_5d	mixed	whole_organism	sporocyst_5d_mixed	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	x_5d_sporocysts_r4	ERR11178290	PAIRED	sporocyst_5d	mixed	whole_organism	sporocyst_5d_mixed	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	x_5d_sporocysts_r4	ERR11178380	PAIRED	sporocyst_5d	mixed	whole_organism	sporocyst_5d_mixed	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	x_5d_sporocysts_r5	ERR11178299	PAIRED	sporocyst_5d	mixed	whole_organism	sporocyst_5d_mixed	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	x_5d_sporocysts_r5	ERR11178389	PAIRED	sporocyst_5d	mixed	whole_organism	sporocyst_5d_mixed	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	x_cercariae_r1	ERR11178320	PAIRED	cercaria	mixed	whole_organism	cercaria_mixed	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	x_cercariae_r1	ERR11178410	PAIRED	cercaria	mixed	whole_organism	cercaria_mixed	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	x_cercariae_r2	ERR11178328	PAIRED	cercaria	mixed	whole_organism	cercaria_mixed	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	x_cercariae_r2	ERR11178418	PAIRED	cercaria	mixed	whole_organism	cercaria_mixed	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	x_cercariae_r3	ERR11178337	PAIRED	cercaria	mixed	whole_organism	cercaria_mixed	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	x_cercariae_r3	ERR11178427	PAIRED	cercaria	mixed	whole_organism	cercaria_mixed	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	x_cercariae_r4	ERR11178265	PAIRED	cercaria	mixed	whole_organism	cercaria_mixed	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	x_cercariae_r4	ERR11178355	PAIRED	cercaria	mixed	whole_organism	cercaria_mixed	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	x_cercariae_r5	ERR11178275	PAIRED	cercaria	mixed	whole_organism	cercaria_mixed	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	x_cercariae_r5	ERR11178365	PAIRED	cercaria	mixed	whole_organism	cercaria_mixed	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	x_eggs_r1	ERR11178266	PAIRED	egg	mixed	whole_organism	egg_mixed	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	x_eggs_r1	ERR11178356	PAIRED	egg	mixed	whole_organism	egg_mixed	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	x_eggs_r2	ERR11178276	PAIRED	egg	mixed	whole_organism	egg_mixed	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	x_eggs_r2	ERR11178366	PAIRED	egg	mixed	whole_organism	egg_mixed	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	x_eggs_r3	ERR11178286	PAIRED	egg	mixed	whole_organism	egg_mixed	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	x_eggs_r3	ERR11178376	PAIRED	egg	mixed	whole_organism	egg_mixed	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	x_eggs_r4	ERR11178295	PAIRED	egg	mixed	whole_organism	egg_mixed	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	x_eggs_r4	ERR11178385	PAIRED	egg	mixed	whole_organism	egg_mixed	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	x_eggs_r5	ERR11178304	PAIRED	egg	mixed	whole_organism	egg_mixed	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	x_eggs_r5	ERR11178394	PAIRED	egg	mixed	whole_organism	egg_mixed	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	x_miracidia_r1	ERR11178313	PAIRED	miracidium	mixed	whole_organism	miracidium_mixed	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	x_miracidia_r1	ERR11178403	PAIRED	miracidium	mixed	whole_organism	miracidium_mixed	untreated	not_applicable	1	not_declared	ENA
PRJEB32839	x_miracidia_r2	ERR11178322	PAIRED	miracidium	mixed	whole_organism	miracidium_mixed	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	x_miracidia_r2	ERR11178412	PAIRED	miracidium	mixed	whole_organism	miracidium_mixed	untreated	not_applicable	2	not_declared	ENA
PRJEB32839	x_miracidia_r3	ERR11178330	PAIRED	miracidium	mixed	whole_organism	miracidium_mixed	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	x_miracidia_r3	ERR11178420	PAIRED	miracidium	mixed	whole_organism	miracidium_mixed	untreated	not_applicable	3	not_declared	ENA
PRJEB32839	x_miracidia_r4	ERR11178268	PAIRED	miracidium	mixed	whole_organism	miracidium_mixed	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	x_miracidia_r4	ERR11178358	PAIRED	miracidium	mixed	whole_organism	miracidium_mixed	untreated	not_applicable	4	not_declared	ENA
PRJEB32839	x_miracidia_r5	ERR11178278	PAIRED	miracidium	mixed	whole_organism	miracidium_mixed	untreated	not_applicable	5	not_declared	ENA
PRJEB32839	x_miracidia_r5	ERR11178368	PAIRED	miracidium	mixed	whole_organism	miracidium_mixed	untreated	not_applicable	5	not_declared	ENA
