gene_id	Intercept	condition_ovary_single_sex_vs_ovary_mixed_sex	condition_testis_mixed_sex_vs_ovary_mixed_sex	condition_testis_single_sex_vs_ovary_mixed_sex	condition_whole_female_mixed_sex_vs_ovary_mixed_sex	condition_whole_female_single_sex_vs_ovary_mixed_sex	condition_whole_male_mixed_sex_vs_ovary_mixed_sex	condition_whole_male_single_sex_vs_ovary_mixed_sex
Smp_000020	11.6862140199311	0.217797783360934	-0.487819801782866	-0.443194478718899	-0.42893389276412	-0.901530376662731	-0.381451008570696	-0.828573603304436
Smp_000030	13.9402097507876	-0.345672314370405	-0.858818687600882	-0.739050395139834	-0.232761237104503	-0.540653678986977	-0.334036358198571	-0.374023761499261
Smp_000040	11.9692202054157	-0.00946366062592176	0.610943388281674	0.604770776731431	0.772893855699959	0.706138839306114	0.795450108887517	0.89302362451625
Smp_000050	8.19923326339678	-1.90070148690083	1.5292115198868	0.617995852123366	2.26545922733493	1.16968843109075	2.62750761908115	2.0163606696421
Smp_000070	12.0072622373622	-0.941471221741737	-1.12304795476614	-1.27357084601298	-1.00478030636856	-0.914956308706795	-1.29957556218153	-1.50531725123409
Smp_000075	-2.64821195555539	-0.286696308902762	5.61722502173212	2.48643620879091	0.547327717063204	-0.273826907942913	0.599544381382567	2.81534771836469
Smp_000080	-2.64837240940871	5.77060775079068	3.57182861500128	4.32181654203797	3.02959627812025	4.58784873208549	3.73726632758254	3.79384292243427
Smp_000100	7.14248035917164	3.46836056636638	-0.688016091935708	0.273712955408061	5.25970783048212	5.84131729951513	6.08474223431999	6.48441561961136
Smp_000110	11.0530617172949	-0.832774494057795	-1.85367109936299	-1.53660612291483	-0.824528238027912	-1.35127998303462	-1.30316421791525	-1.47979123854896
Smp_000130	9.14285466960189	1.29125982551313	0.571115853549764	0.679628858728172	1.95670026750384	1.7244630098787	2.27427464842298	1.92093138647958
Smp_000150	11.5366440537307	-0.20219014125618	-0.867137953671175	-0.745775562457767	-0.31624632867932	-0.667063000005444	-0.356208707826272	-0.439496463858488
Smp_000160	9.78423458563162	-1.40773202472698	-4.68256269471529	-4.53931492539325	-1.10952526441784	-0.523969956056836	-0.410648072955437	-0.271655690742848
Smp_000180	-2.64834327385924	1.17356685808406	4.67904842329512	5.28162326256466	10.0080654449229	9.16572706442019	10.2940758868551	12.0970774333304
Smp_000190	9.99887649175487	0.398213317013039	-0.978416592105626	-0.595419791819386	2.13073566307633	2.52771616384517	2.27124523545689	2.33605683748093
Smp_000200	9.95106111266648	2.15504755444618	-0.885725228231181	0.100402537539005	0.253811468674641	0.441611712676973	0.202485996053175	0.548982114036273
Smp_000230	9.98660435794239	0.858464200047838	0.0566788247966672	0.298446772517102	0.545727944674682	-0.229297016046334	0.350575213156162	0.022539027103596
Smp_000240	13.9907915852801	-0.115485088333758	-0.86472892048163	-0.538434819075046	-0.318094955772381	-0.397209172445692	-0.566842017827747	-0.679076302890569
Smp_000260	12.5954142708691	0.644416040578618	1.00708091351511	1.25044082944437	2.55349112743489	2.9934696448515	2.89920539509908	3.19219697780856
Smp_000270	3.0311548611825	-0.950013612102511	1.23844693873507	0.22953824842827	9.9510630937053	4.50600966302052	8.73887477719178	1.18700948854718
