gene_id	baseMean	log2FoldChange	lfcSE	statistic	pvalue	padj	contrast	design
Smp_245140	266.53279019169	-3.62734718628942	0.312067565681374	-11.6235956093976	3.12693303500515e-31	2.81361434489763e-27	condition__whole_male_mixed_sex_vs_whole_male_single_sex	~ condition
Smp_301330	230.228319710473	23.2676621882942	2.68398989539721	8.66905729719628	4.35712677665164e-18	1.96027133681557e-14	condition__whole_male_mixed_sex_vs_whole_male_single_sex	~ condition
Smp_319340	1857.26821849643	-1.37673848884168	0.181463729528701	-7.58685216278403	3.27770693872566e-14	9.83093567821783e-11	condition__whole_male_mixed_sex_vs_whole_male_single_sex	~ condition
Smp_112450	108.384302145566	23.9275453787605	3.4512390499756	6.93303043697586	4.11919532606809e-12	7.99076183317655e-09	condition__whole_male_mixed_sex_vs_whole_male_single_sex	~ condition
Smp_125740	1112.86459101157	0.9447024148501	0.136470199765612	6.92240808962416	4.44029886262311e-12	7.99076183317655e-09	condition__whole_male_mixed_sex_vs_whole_male_single_sex	~ condition
Smp_203830	1755.28161114451	-2.79697676654803	0.405829756576096	-6.89199527936434	5.50151998576528e-12	8.25044613865267e-09	condition__whole_male_mixed_sex_vs_whole_male_single_sex	~ condition
Smp_046130	2153.83027071035	-0.571478549232792	0.0833305002835811	-6.85797573863111	6.98431167192388e-12	8.97783377485301e-09	condition__whole_male_mixed_sex_vs_whole_male_single_sex	~ condition
Smp_144990	1786.19633464685	0.799037774792146	0.119283492830475	6.6986450164377	2.10360904543406e-11	2.36603427385196e-08	condition__whole_male_mixed_sex_vs_whole_male_single_sex	~ condition
Smp_114430	343.234485477882	3.67987444881741	0.55264893625315	6.65861129447969	2.76426929358657e-11	2.76365501152133e-08	condition__whole_male_mixed_sex_vs_whole_male_single_sex	~ condition
Smp_033140	621.406824048856	-0.885641414200807	0.138699169873383	-6.38534040981862	1.71016611647374e-10	1.53880747160308e-07	condition__whole_male_mixed_sex_vs_whole_male_single_sex	~ condition
Smp_035700	555.631988177638	1.60336046773713	0.25278101695049	6.34288320808191	2.25504388245296e-10	1.69090707119265e-07	condition__whole_male_mixed_sex_vs_whole_male_single_sex	~ condition
Smp_194770	12669.6583584293	-1.13549795034595	0.178868040968486	-6.34824390202834	2.17786610090021e-10	1.69090707119265e-07	condition__whole_male_mixed_sex_vs_whole_male_single_sex	~ condition
Smp_047370	13490.7369647311	-0.769823265541357	0.127239007816541	-6.05021430732409	1.44653275169673e-09	9.51756808597973e-07	condition__whole_male_mixed_sex_vs_whole_male_single_sex	~ condition
Smp_303400	1562.20029737635	-13.8382666734053	2.2886646043481	-6.04643714378892	1.48083966663388e-09	9.51756808597973e-07	condition__whole_male_mixed_sex_vs_whole_male_single_sex	~ condition
Smp_138750	691.362229172369	1.37618930331049	0.23188228926642	5.93486163891251	2.94093406617614e-09	1.76416831516353e-06	condition__whole_male_mixed_sex_vs_whole_male_single_sex	~ condition
Smp_007550	3363.33017430502	-0.594908360816049	0.101555341808933	-5.85797211864358	4.68553289060052e-09	2.63502655935147e-06	condition__whole_male_mixed_sex_vs_whole_male_single_sex	~ condition
Smp_302980	5558.26281970196	8.85054451494913	1.51411584659515	5.84535492105951	5.0548932551841e-09	2.67552526530274e-06	condition__whole_male_mixed_sex_vs_whole_male_single_sex	~ condition
Smp_136110	163.596839850883	2.27884353381793	0.395248458548579	5.76559752360892	8.13690327787025e-09	4.06754753857092e-06	condition__whole_male_mixed_sex_vs_whole_male_single_sex	~ condition
Smp_143920	1341.95809740122	0.53184732711877	0.0946051618777991	5.62175801575979	1.89023916882077e-08	8.50418602052463e-06	condition__whole_male_mixed_sex_vs_whole_male_single_sex	~ condition
Smp_308140	122.88131584492	1.6952060769057	0.301236722179219	5.62748812509369	1.82852746676192e-08	8.50418602052463e-06	condition__whole_male_mixed_sex_vs_whole_male_single_sex	~ condition
Smp_211080	499.776625091842	-0.764642816525046	0.136379873542179	-5.60671304837777	2.06205109882874e-08	8.83539799393379e-06	condition__whole_male_mixed_sex_vs_whole_male_single_sex	~ condition
Smp_135020	1282.91345779129	1.69443255023582	0.303449501050076	5.58390290434587	2.35180038170454e-08	9.61886356117158e-06	condition__whole_male_mixed_sex_vs_whole_male_single_sex	~ condition
