contrast	factor	numerator	denominator	positive_log2fc_means	negative_log2fc_means	numerator_replicates	denominator_replicates	estimable
condition__ovary_mixed_sex_vs_ovary_single_sex	condition	ovary_mixed_sex	ovary_single_sex	higher in ovary_mixed_sex	higher in ovary_single_sex	3	2	TRUE
condition__testis_mixed_sex_vs_testis_single_sex	condition	testis_mixed_sex	testis_single_sex	higher in testis_mixed_sex	higher in testis_single_sex	3	3	TRUE
condition__whole_female_mixed_sex_vs_whole_female_single_sex	condition	whole_female_mixed_sex	whole_female_single_sex	higher in whole_female_mixed_sex	higher in whole_female_single_sex	3	3	TRUE
condition__whole_male_mixed_sex_vs_whole_male_single_sex	condition	whole_male_mixed_sex	whole_male_single_sex	higher in whole_male_mixed_sex	higher in whole_male_single_sex	3	3	TRUE
condition__whole_female_mixed_sex_vs_whole_male_mixed_sex	condition	whole_female_mixed_sex	whole_male_mixed_sex	higher in whole_female_mixed_sex	higher in whole_male_mixed_sex	3	3	TRUE
condition__whole_female_single_sex_vs_whole_male_single_sex	condition	whole_female_single_sex	whole_male_single_sex	higher in whole_female_single_sex	higher in whole_male_single_sex	3	3	TRUE
