run_accession	biological_sample_id	biosample	technical_unit	r1_file	r2_file	condition	sex	tissue_context	pairing_state	replicate
ERR667129	testis_mixed_sex_r1	SAMEA2395939	technical_run_6	ERR667129_1.fastq.gz	ERR667129_2.fastq.gz	testis_mixed_sex	male	testis	mixed_sex	1
ERR506080	testis_mixed_sex_r2	SAMEA2395940	technical_run_1	ERR506080_1.fastq.gz	ERR506080_2.fastq.gz	testis_mixed_sex	male	testis	mixed_sex	2
ERR506104	testis_mixed_sex_r2	SAMEA2395940	technical_run_2	ERR506104_1.fastq.gz	ERR506104_2.fastq.gz	testis_mixed_sex	male	testis	mixed_sex	2
ERR667058	testis_mixed_sex_r2	SAMEA2395940	technical_run_3	ERR667058_1.fastq.gz	ERR667058_2.fastq.gz	testis_mixed_sex	male	testis	mixed_sex	2
ERR667082	testis_mixed_sex_r2	SAMEA2395940	technical_run_4	ERR667082_1.fastq.gz	ERR667082_2.fastq.gz	testis_mixed_sex	male	testis	mixed_sex	2
ERR667106	testis_mixed_sex_r2	SAMEA2395940	technical_run_5	ERR667106_1.fastq.gz	ERR667106_2.fastq.gz	testis_mixed_sex	male	testis	mixed_sex	2
ERR667130	testis_mixed_sex_r2	SAMEA2395940	technical_run_6	ERR667130_1.fastq.gz	ERR667130_2.fastq.gz	testis_mixed_sex	male	testis	mixed_sex	2
ERR506081	testis_mixed_sex_r3	SAMEA2395941	technical_run_1	ERR506081_1.fastq.gz	ERR506081_2.fastq.gz	testis_mixed_sex	male	testis	mixed_sex	3
ERR506105	testis_mixed_sex_r3	SAMEA2395941	technical_run_2	ERR506105_1.fastq.gz	ERR506105_2.fastq.gz	testis_mixed_sex	male	testis	mixed_sex	3
ERR667059	testis_mixed_sex_r3	SAMEA2395941	technical_run_3	ERR667059_1.fastq.gz	ERR667059_2.fastq.gz	testis_mixed_sex	male	testis	mixed_sex	3
ERR667083	testis_mixed_sex_r3	SAMEA2395941	technical_run_4	ERR667083_1.fastq.gz	ERR667083_2.fastq.gz	testis_mixed_sex	male	testis	mixed_sex	3
ERR667107	testis_mixed_sex_r3	SAMEA2395941	technical_run_5	ERR667107_1.fastq.gz	ERR667107_2.fastq.gz	testis_mixed_sex	male	testis	mixed_sex	3
ERR667131	testis_mixed_sex_r3	SAMEA2395941	technical_run_6	ERR667131_1.fastq.gz	ERR667131_2.fastq.gz	testis_mixed_sex	male	testis	mixed_sex	3
ERR506077	testis_single_sex_r1	SAMEA2395937	technical_run_1	ERR506077_1.fastq.gz	ERR506077_2.fastq.gz	testis_single_sex	male	testis	single_sex	1
ERR506101	testis_single_sex_r1	SAMEA2395937	technical_run_2	ERR506101_1.fastq.gz	ERR506101_2.fastq.gz	testis_single_sex	male	testis	single_sex	1
ERR667055	testis_single_sex_r1	SAMEA2395937	technical_run_3	ERR667055_1.fastq.gz	ERR667055_2.fastq.gz	testis_single_sex	male	testis	single_sex	1
ERR667079	testis_single_sex_r1	SAMEA2395937	technical_run_4	ERR667079_1.fastq.gz	ERR667079_2.fastq.gz	testis_single_sex	male	testis	single_sex	1
ERR667103	testis_single_sex_r1	SAMEA2395937	technical_run_5	ERR667103_1.fastq.gz	ERR667103_2.fastq.gz	testis_single_sex	male	testis	single_sex	1
ERR667127	testis_single_sex_r1	SAMEA2395937	technical_run_6	ERR667127_1.fastq.gz	ERR667127_2.fastq.gz	testis_single_sex	male	testis	single_sex	1
ERR506078	testis_single_sex_r2	SAMEA2395938	technical_run_1	ERR506078_1.fastq.gz	ERR506078_2.fastq.gz	testis_single_sex	male	testis	single_sex	2
ERR506102	testis_single_sex_r2	SAMEA2395938	technical_run_2	ERR506102_1.fastq.gz	ERR506102_2.fastq.gz	testis_single_sex	male	testis	single_sex	2
ERR667056	testis_single_sex_r2	SAMEA2395938	technical_run_3	ERR667056_1.fastq.gz	ERR667056_2.fastq.gz	testis_single_sex	male	testis	single_sex	2
ERR667080	testis_single_sex_r2	SAMEA2395938	technical_run_4	ERR667080_1.fastq.gz	ERR667080_2.fastq.gz	testis_single_sex	male	testis	single_sex	2
ERR667104	testis_single_sex_r2	SAMEA2395938	technical_run_5	ERR667104_1.fastq.gz	ERR667104_2.fastq.gz	testis_single_sex	male	testis	single_sex	2
ERR667128	testis_single_sex_r2	SAMEA2395938	technical_run_6	ERR667128_1.fastq.gz	ERR667128_2.fastq.gz	testis_single_sex	male	testis	single_sex	2
ERR506085	testis_single_sex_r3	SAMEA2395945	technical_run_1	ERR506085_1.fastq.gz	ERR506085_2.fastq.gz	testis_single_sex	male	testis	single_sex	3
ERR506109	testis_single_sex_r3	SAMEA2395945	technical_run_2	ERR506109_1.fastq.gz	ERR506109_2.fastq.gz	testis_single_sex	male	testis	single_sex	3
ERR667063	testis_single_sex_r3	SAMEA2395945	technical_run_3	ERR667063_1.fastq.gz	ERR667063_2.fastq.gz	testis_single_sex	male	testis	single_sex	3
ERR667087	testis_single_sex_r3	SAMEA2395945	technical_run_4	ERR667087_1.fastq.gz	ERR667087_2.fastq.gz	testis_single_sex	male	testis	single_sex	3
ERR667111	testis_single_sex_r3	SAMEA2395945	technical_run_5	ERR667111_1.fastq.gz	ERR667111_2.fastq.gz	testis_single_sex	male	testis	single_sex	3
ERR667135	testis_single_sex_r3	SAMEA2395945	technical_run_6	ERR667135_1.fastq.gz	ERR667135_2.fastq.gz	testis_single_sex	male	testis	single_sex	3
ERR506076	whole_female_mixed_sex_r1	SAMEA2395936	technical_run_1	ERR506076_1.fastq.gz	ERR506076_2.fastq.gz	whole_female_mixed_sex	female	whole_worm	mixed_sex	1
ERR506100	whole_female_mixed_sex_r1	SAMEA2395936	technical_run_2	ERR506100_1.fastq.gz	ERR506100_2.fastq.gz	whole_female_mixed_sex	female	whole_worm	mixed_sex	1
ERR667054	whole_female_mixed_sex_r1	SAMEA2395936	technical_run_3	ERR667054_1.fastq.gz	ERR667054_2.fastq.gz	whole_female_mixed_sex	female	whole_worm	mixed_sex	1
ERR667078	whole_female_mixed_sex_r1	SAMEA2395936	technical_run_4	ERR667078_1.fastq.gz	ERR667078_2.fastq.gz	whole_female_mixed_sex	female	whole_worm	mixed_sex	1
ERR667102	whole_female_mixed_sex_r1	SAMEA2395936	technical_run_5	ERR667102_1.fastq.gz	ERR667102_2.fastq.gz	whole_female_mixed_sex	female	whole_worm	mixed_sex	1
ERR667126	whole_female_mixed_sex_r1	SAMEA2395936	technical_run_6	ERR667126_1.fastq.gz	ERR667126_2.fastq.gz	whole_female_mixed_sex	female	whole_worm	mixed_sex	1
ERR506083	whole_female_mixed_sex_r2	SAMEA2395943	technical_run_1	ERR506083_1.fastq.gz	ERR506083_2.fastq.gz	whole_female_mixed_sex	female	whole_worm	mixed_sex	2
ERR506107	whole_female_mixed_sex_r2	SAMEA2395943	technical_run_2	ERR506107_1.fastq.gz	ERR506107_2.fastq.gz	whole_female_mixed_sex	female	whole_worm	mixed_sex	2
ERR667061	whole_female_mixed_sex_r2	SAMEA2395943	technical_run_3	ERR667061_1.fastq.gz	ERR667061_2.fastq.gz	whole_female_mixed_sex	female	whole_worm	mixed_sex	2
ERR667085	whole_female_mixed_sex_r2	SAMEA2395943	technical_run_4	ERR667085_1.fastq.gz	ERR667085_2.fastq.gz	whole_female_mixed_sex	female	whole_worm	mixed_sex	2
ERR667109	whole_female_mixed_sex_r2	SAMEA2395943	technical_run_5	ERR667109_1.fastq.gz	ERR667109_2.fastq.gz	whole_female_mixed_sex	female	whole_worm	mixed_sex	2
ERR667133	whole_female_mixed_sex_r2	SAMEA2395943	technical_run_6	ERR667133_1.fastq.gz	ERR667133_2.fastq.gz	whole_female_mixed_sex	female	whole_worm	mixed_sex	2
ERR506084	whole_female_mixed_sex_r3	SAMEA2395944	technical_run_1	ERR506084_1.fastq.gz	ERR506084_2.fastq.gz	whole_female_mixed_sex	female	whole_worm	mixed_sex	3
ERR506108	whole_female_mixed_sex_r3	SAMEA2395944	technical_run_2	ERR506108_1.fastq.gz	ERR506108_2.fastq.gz	whole_female_mixed_sex	female	whole_worm	mixed_sex	3
ERR667062	whole_female_mixed_sex_r3	SAMEA2395944	technical_run_3	ERR667062_1.fastq.gz	ERR667062_2.fastq.gz	whole_female_mixed_sex	female	whole_worm	mixed_sex	3
ERR667086	whole_female_mixed_sex_r3	SAMEA2395944	technical_run_4	ERR667086_1.fastq.gz	ERR667086_2.fastq.gz	whole_female_mixed_sex	female	whole_worm	mixed_sex	3
ERR667110	whole_female_mixed_sex_r3	SAMEA2395944	technical_run_5	ERR667110_1.fastq.gz	ERR667110_2.fastq.gz	whole_female_mixed_sex	female	whole_worm	mixed_sex	3
ERR667134	whole_female_mixed_sex_r3	SAMEA2395944	technical_run_6	ERR667134_1.fastq.gz	ERR667134_2.fastq.gz	whole_female_mixed_sex	female	whole_worm	mixed_sex	3
ERR506091	whole_female_single_sex_r1	SAMEA2395951	technical_run_1	ERR506091_1.fastq.gz	ERR506091_2.fastq.gz	whole_female_single_sex	female	whole_worm	single_sex	1
ERR506115	whole_female_single_sex_r1	SAMEA2395951	technical_run_2	ERR506115_1.fastq.gz	ERR506115_2.fastq.gz	whole_female_single_sex	female	whole_worm	single_sex	1
ERR667069	whole_female_single_sex_r1	SAMEA2395951	technical_run_3	ERR667069_1.fastq.gz	ERR667069_2.fastq.gz	whole_female_single_sex	female	whole_worm	single_sex	1
ERR667093	whole_female_single_sex_r1	SAMEA2395951	technical_run_4	ERR667093_1.fastq.gz	ERR667093_2.fastq.gz	whole_female_single_sex	female	whole_worm	single_sex	1
ERR667117	whole_female_single_sex_r1	SAMEA2395951	technical_run_5	ERR667117_1.fastq.gz	ERR667117_2.fastq.gz	whole_female_single_sex	female	whole_worm	single_sex	1
ERR667141	whole_female_single_sex_r1	SAMEA2395951	technical_run_6	ERR667141_1.fastq.gz	ERR667141_2.fastq.gz	whole_female_single_sex	female	whole_worm	single_sex	1
ERR506092	whole_female_single_sex_r2	SAMEA2395952	technical_run_1	ERR506092_1.fastq.gz	ERR506092_2.fastq.gz	whole_female_single_sex	female	whole_worm	single_sex	2
ERR506116	whole_female_single_sex_r2	SAMEA2395952	technical_run_2	ERR506116_1.fastq.gz	ERR506116_2.fastq.gz	whole_female_single_sex	female	whole_worm	single_sex	2
ERR667070	whole_female_single_sex_r2	SAMEA2395952	technical_run_3	ERR667070_1.fastq.gz	ERR667070_2.fastq.gz	whole_female_single_sex	female	whole_worm	single_sex	2
ERR667094	whole_female_single_sex_r2	SAMEA2395952	technical_run_4	ERR667094_1.fastq.gz	ERR667094_2.fastq.gz	whole_female_single_sex	female	whole_worm	single_sex	2
ERR667118	whole_female_single_sex_r2	SAMEA2395952	technical_run_5	ERR667118_1.fastq.gz	ERR667118_2.fastq.gz	whole_female_single_sex	female	whole_worm	single_sex	2
ERR667142	whole_female_single_sex_r2	SAMEA2395952	technical_run_6	ERR667142_1.fastq.gz	ERR667142_2.fastq.gz	whole_female_single_sex	female	whole_worm	single_sex	2
ERR506093	whole_female_single_sex_r3	SAMEA2395953	technical_run_1	ERR506093_1.fastq.gz	ERR506093_2.fastq.gz	whole_female_single_sex	female	whole_worm	single_sex	3
ERR506117	whole_female_single_sex_r3	SAMEA2395953	technical_run_2	ERR506117_1.fastq.gz	ERR506117_2.fastq.gz	whole_female_single_sex	female	whole_worm	single_sex	3
ERR667071	whole_female_single_sex_r3	SAMEA2395953	technical_run_3	ERR667071_1.fastq.gz	ERR667071_2.fastq.gz	whole_female_single_sex	female	whole_worm	single_sex	3
ERR667095	whole_female_single_sex_r3	SAMEA2395953	technical_run_4	ERR667095_1.fastq.gz	ERR667095_2.fastq.gz	whole_female_single_sex	female	whole_worm	single_sex	3
ERR667119	whole_female_single_sex_r3	SAMEA2395953	technical_run_5	ERR667119_1.fastq.gz	ERR667119_2.fastq.gz	whole_female_single_sex	female	whole_worm	single_sex	3
ERR667143	whole_female_single_sex_r3	SAMEA2395953	technical_run_6	ERR667143_1.fastq.gz	ERR667143_2.fastq.gz	whole_female_single_sex	female	whole_worm	single_sex	3
ERR506082	whole_male_mixed_sex_r1	SAMEA2395942	technical_run_1	ERR506082_1.fastq.gz	ERR506082_2.fastq.gz	whole_male_mixed_sex	male	whole_worm	mixed_sex	1
ERR506106	whole_male_mixed_sex_r1	SAMEA2395942	technical_run_2	ERR506106_1.fastq.gz	ERR506106_2.fastq.gz	whole_male_mixed_sex	male	whole_worm	mixed_sex	1
ERR667060	whole_male_mixed_sex_r1	SAMEA2395942	technical_run_3	ERR667060_1.fastq.gz	ERR667060_2.fastq.gz	whole_male_mixed_sex	male	whole_worm	mixed_sex	1
ERR667084	whole_male_mixed_sex_r1	SAMEA2395942	technical_run_4	ERR667084_1.fastq.gz	ERR667084_2.fastq.gz	whole_male_mixed_sex	male	whole_worm	mixed_sex	1
ERR667108	whole_male_mixed_sex_r1	SAMEA2395942	technical_run_5	ERR667108_1.fastq.gz	ERR667108_2.fastq.gz	whole_male_mixed_sex	male	whole_worm	mixed_sex	1
ERR667132	whole_male_mixed_sex_r1	SAMEA2395942	technical_run_6	ERR667132_1.fastq.gz	ERR667132_2.fastq.gz	whole_male_mixed_sex	male	whole_worm	mixed_sex	1
ERR506088	whole_male_mixed_sex_r2	SAMEA2395949	technical_run_1	ERR506088_1.fastq.gz	ERR506088_2.fastq.gz	whole_male_mixed_sex	male	whole_worm	mixed_sex	2
ERR506112	whole_male_mixed_sex_r2	SAMEA2395949	technical_run_2	ERR506112_1.fastq.gz	ERR506112_2.fastq.gz	whole_male_mixed_sex	male	whole_worm	mixed_sex	2
ERR667066	whole_male_mixed_sex_r2	SAMEA2395949	technical_run_3	ERR667066_1.fastq.gz	ERR667066_2.fastq.gz	whole_male_mixed_sex	male	whole_worm	mixed_sex	2
ERR667090	whole_male_mixed_sex_r2	SAMEA2395949	technical_run_4	ERR667090_1.fastq.gz	ERR667090_2.fastq.gz	whole_male_mixed_sex	male	whole_worm	mixed_sex	2
ERR667114	whole_male_mixed_sex_r2	SAMEA2395949	technical_run_5	ERR667114_1.fastq.gz	ERR667114_2.fastq.gz	whole_male_mixed_sex	male	whole_worm	mixed_sex	2
ERR667138	whole_male_mixed_sex_r2	SAMEA2395949	technical_run_6	ERR667138_1.fastq.gz	ERR667138_2.fastq.gz	whole_male_mixed_sex	male	whole_worm	mixed_sex	2
ERR506090	whole_male_mixed_sex_r3	SAMEA2395950	technical_run_1	ERR506090_1.fastq.gz	ERR506090_2.fastq.gz	whole_male_mixed_sex	male	whole_worm	mixed_sex	3
ERR506114	whole_male_mixed_sex_r3	SAMEA2395950	technical_run_2	ERR506114_1.fastq.gz	ERR506114_2.fastq.gz	whole_male_mixed_sex	male	whole_worm	mixed_sex	3
ERR667068	whole_male_mixed_sex_r3	SAMEA2395950	technical_run_3	ERR667068_1.fastq.gz	ERR667068_2.fastq.gz	whole_male_mixed_sex	male	whole_worm	mixed_sex	3
ERR667092	whole_male_mixed_sex_r3	SAMEA2395950	technical_run_4	ERR667092_1.fastq.gz	ERR667092_2.fastq.gz	whole_male_mixed_sex	male	whole_worm	mixed_sex	3
ERR667116	whole_male_mixed_sex_r3	SAMEA2395950	technical_run_5	ERR667116_1.fastq.gz	ERR667116_2.fastq.gz	whole_male_mixed_sex	male	whole_worm	mixed_sex	3
ERR667140	whole_male_mixed_sex_r3	SAMEA2395950	technical_run_6	ERR667140_1.fastq.gz	ERR667140_2.fastq.gz	whole_male_mixed_sex	male	whole_worm	mixed_sex	3
ERR506086	whole_male_single_sex_r1	SAMEA2395946	technical_run_1	ERR506086_1.fastq.gz	ERR506086_2.fastq.gz	whole_male_single_sex	male	whole_worm	single_sex	1
ERR506110	whole_male_single_sex_r1	SAMEA2395946	technical_run_2	ERR506110_1.fastq.gz	ERR506110_2.fastq.gz	whole_male_single_sex	male	whole_worm	single_sex	1
ERR667064	whole_male_single_sex_r1	SAMEA2395946	technical_run_3	ERR667064_1.fastq.gz	ERR667064_2.fastq.gz	whole_male_single_sex	male	whole_worm	single_sex	1
ERR667088	whole_male_single_sex_r1	SAMEA2395946	technical_run_4	ERR667088_1.fastq.gz	ERR667088_2.fastq.gz	whole_male_single_sex	male	whole_worm	single_sex	1
ERR667112	whole_male_single_sex_r1	SAMEA2395946	technical_run_5	ERR667112_1.fastq.gz	ERR667112_2.fastq.gz	whole_male_single_sex	male	whole_worm	single_sex	1
ERR667136	whole_male_single_sex_r1	SAMEA2395946	technical_run_6	ERR667136_1.fastq.gz	ERR667136_2.fastq.gz	whole_male_single_sex	male	whole_worm	single_sex	1
