dataset,sample_id,file_prefix,run_accession,condition,stage,tissue,sex,infection_mode,treatment,time_hours,batch,replicate,biosample,library_name,technical_unit
PRJEB32839,f_26d_juveniles_r1,f_26d_juveniles_r1,ERR11178331,juvenile_26d_female,juvenile_26d,whole_organism,female,not_applicable,untreated,not_applicable,not_declared,1,SAMEA7225787,NT1631342Q,lane_1
PRJEB32839,f_26d_juveniles_r1,f_26d_juveniles_r1,ERR11178421,juvenile_26d_female,juvenile_26d,whole_organism,female,not_applicable,untreated,not_applicable,not_declared,1,SAMEA7225787,NT1631342Q,lane_2
PRJEB32839,f_26d_juveniles_r2,f_26d_juveniles_r2,ERR11178269,juvenile_26d_female,juvenile_26d,whole_organism,female,not_applicable,untreated,not_applicable,not_declared,2,SAMEA7225789,NT1631343R,lane_1
PRJEB32839,f_26d_juveniles_r2,f_26d_juveniles_r2,ERR11178359,juvenile_26d_female,juvenile_26d,whole_organism,female,not_applicable,untreated,not_applicable,not_declared,2,SAMEA7225789,NT1631343R,lane_2
PRJEB32839,f_26d_juveniles_r3,f_26d_juveniles_r3,ERR11178279,juvenile_26d_female,juvenile_26d,whole_organism,female,not_applicable,untreated,not_applicable,not_declared,3,SAMEA7225790,NT1631344S,lane_1
PRJEB32839,f_26d_juveniles_r3,f_26d_juveniles_r3,ERR11178369,juvenile_26d_female,juvenile_26d,whole_organism,female,not_applicable,untreated,not_applicable,not_declared,3,SAMEA7225790,NT1631344S,lane_2
PRJEB32839,f_26d_juveniles_r4,f_26d_juveniles_r4,ERR11178289,juvenile_26d_female,juvenile_26d,whole_organism,female,not_applicable,untreated,not_applicable,not_declared,4,SAMEA7225793,NT1631345T,lane_1
PRJEB32839,f_26d_juveniles_r4,f_26d_juveniles_r4,ERR11178379,juvenile_26d_female,juvenile_26d,whole_organism,female,not_applicable,untreated,not_applicable,not_declared,4,SAMEA7225793,NT1631345T,lane_2
PRJEB32839,f_26d_juveniles_r5,f_26d_juveniles_r5,ERR11178298,juvenile_26d_female,juvenile_26d,whole_organism,female,not_applicable,untreated,not_applicable,not_declared,5,SAMEA7225796,NT1631346U,lane_1
PRJEB32839,f_26d_juveniles_r5,f_26d_juveniles_r5,ERR11178388,juvenile_26d_female,juvenile_26d,whole_organism,female,not_applicable,untreated,not_applicable,not_declared,5,SAMEA7225796,NT1631346U,lane_2
