dataset	sample_id	source_sample_name	biosample	condition	stage	tissue	sex	infection_mode	treatment	time_hours	batch	replicate	technical_runs
PRJEB32839	m_32d_sporocysts_r5	M_32d_Sporocysts_R5	ERS4985705	sporocyst_32d_male	sporocyst_32d	whole_organism	male	not_applicable	untreated	not_applicable	not_declared	5	2
PRJEB32839	x_32d_sporocysts_r1	X_32d_Sporocysts_R1	ERS4985707	sporocyst_32d_mixed	sporocyst_32d	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	1	2
PRJEB32839	x_32d_sporocysts_r2	X_32d_Sporocysts_R2	ERS4985708	sporocyst_32d_mixed	sporocyst_32d	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	2	2
PRJEB32839	x_32d_sporocysts_r3	X_32d_Sporocysts_R3	ERS4985711	sporocyst_32d_mixed	sporocyst_32d	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	3	2
PRJEB32839	x_32d_sporocysts_r4	X_32d_Sporocysts_R4	ERS4985713	sporocyst_32d_mixed	sporocyst_32d	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	4	2
PRJEB32839	x_32d_sporocysts_r5	X_32d_Sporocysts_R5	ERS4985715	sporocyst_32d_mixed	sporocyst_32d	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	5	2
PRJEB32839	f_cercariae_r1	F_Cercariae_R1	ERS4985717	cercaria_female	cercaria	whole_organism	female	not_applicable	untreated	not_applicable	not_declared	1	2
PRJEB32839	f_cercariae_r2	F_Cercariae_R2	ERS4985719	cercaria_female	cercaria	whole_organism	female	not_applicable	untreated	not_applicable	not_declared	2	2
PRJEB32839	f_cercariae_r3	F_Cercariae_R3	ERS4985722	cercaria_female	cercaria	whole_organism	female	not_applicable	untreated	not_applicable	not_declared	3	2
PRJEB32839	f_cercariae_r4	F_Cercariae_R4	ERS4985723	cercaria_female	cercaria	whole_organism	female	not_applicable	untreated	not_applicable	not_declared	4	2
PRJEB32839	f_cercariae_r5	F_Cercariae_R5	ERS4985727	cercaria_female	cercaria	whole_organism	female	not_applicable	untreated	not_applicable	not_declared	5	2
PRJEB32839	m_cercariae_r1	M_Cercariae_R1	ERS4985729	cercaria_male	cercaria	whole_organism	male	not_applicable	untreated	not_applicable	not_declared	1	2
PRJEB32839	m_cercariae_r2	M_Cercariae_R2	ERS4985731	cercaria_male	cercaria	whole_organism	male	not_applicable	untreated	not_applicable	not_declared	2	2
PRJEB32839	m_cercariae_r3	M_Cercariae_R3	ERS4985733	cercaria_male	cercaria	whole_organism	male	not_applicable	untreated	not_applicable	not_declared	3	2
PRJEB32839	m_cercariae_r4	M_Cercariae_R4	ERS4985735	cercaria_male	cercaria	whole_organism	male	not_applicable	untreated	not_applicable	not_declared	4	2
PRJEB32839	m_cercariae_r5	M_Cercariae_R5	ERS4985737	cercaria_male	cercaria	whole_organism	male	not_applicable	untreated	not_applicable	not_declared	5	2
PRJEB32839	x_cercariae_r1	X_Cercariae_R1	ERS4985739	cercaria_mixed	cercaria	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	1	2
PRJEB32839	x_cercariae_r2	X_Cercariae_R2	ERS4985741	cercaria_mixed	cercaria	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	2	2
PRJEB32839	x_cercariae_r3	X_Cercariae_R3	ERS4985725	cercaria_mixed	cercaria	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	3	2
PRJEB32839	x_cercariae_r4	X_Cercariae_R4	ERS4985726	cercaria_mixed	cercaria	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	4	2
PRJEB32839	x_cercariae_r5	X_Cercariae_R5	ERS4985743	cercaria_mixed	cercaria	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	5	2
PRJEB32839	f_2d_somules_r1	F_2d_Somules_R1	ERS4985745	schistosomulum_2d_female	schistosomulum_2d	whole_organism	female	not_applicable	untreated	not_applicable	not_declared	1	2
PRJEB32839	f_2d_somules_r2	F_2d_Somules_R2	ERS4985747	schistosomulum_2d_female	schistosomulum_2d	whole_organism	female	not_applicable	untreated	not_applicable	not_declared	2	2
PRJEB32839	f_2d_somules_r3	F_2d_Somules_R3	ERS4985749	schistosomulum_2d_female	schistosomulum_2d	whole_organism	female	not_applicable	untreated	not_applicable	not_declared	3	2
PRJEB32839	f_2d_somules_r4	F_2d_Somules_R4	ERS4985751	schistosomulum_2d_female	schistosomulum_2d	whole_organism	female	not_applicable	untreated	not_applicable	not_declared	4	2
PRJEB32839	f_2d_somules_r5	F_2d_Somules_R5	ERS4985753	schistosomulum_2d_female	schistosomulum_2d	whole_organism	female	not_applicable	untreated	not_applicable	not_declared	5	2
PRJEB32839	m_2d_somules_r1	M_2d_Somules_R1	ERS4985755	schistosomulum_2d_male	schistosomulum_2d	whole_organism	male	not_applicable	untreated	not_applicable	not_declared	1	2
PRJEB32839	m_2d_somules_r2	M_2d_Somules_R2	ERS4985757	schistosomulum_2d_male	schistosomulum_2d	whole_organism	male	not_applicable	untreated	not_applicable	not_declared	2	2
PRJEB32839	m_2d_somules_r3	M_2d_Somules_R3	ERS4985759	schistosomulum_2d_male	schistosomulum_2d	whole_organism	male	not_applicable	untreated	not_applicable	not_declared	3	2
PRJEB32839	m_2d_somules_r4	M_2d_Somules_R4	ERS4985761	schistosomulum_2d_male	schistosomulum_2d	whole_organism	male	not_applicable	untreated	not_applicable	not_declared	4	2
PRJEB32839	m_2d_somules_r5	M_2d_Somules_R5	ERS4985763	schistosomulum_2d_male	schistosomulum_2d	whole_organism	male	not_applicable	untreated	not_applicable	not_declared	5	2
PRJEB32839	x_2d_somules_r1	X_2d_Somules_R1	ERS4985765	schistosomulum_2d_mixed	schistosomulum_2d	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	1	2
PRJEB32839	x_2d_somules_r2	X_2d_Somules_R2	ERS4985766	schistosomulum_2d_mixed	schistosomulum_2d	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	2	2
PRJEB32839	x_2d_somules_r3	X_2d_Somules_R3	ERS4985770	schistosomulum_2d_mixed	schistosomulum_2d	whole_organism	mixed	not_applicable	untreated	not_applicable	not_declared	3	2
