run_accession	biosample	secondary_biosample	library_name	fastq_1_url	fastq_2_url	fastq_1_md5	fastq_2_md5	fastq_1_bytes	fastq_2_bytes	exclusion_reason
ERR11178442	SAMEA7225833	ERS4985818	NT1631366B	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/042/ERR11178442/ERR11178442_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/042/ERR11178442/ERR11178442_2.fastq.gz	a80542bc752290c0680561b3b8a0eea8	83ac59b26c5789e23e04d425813e8b49	1133215944	1384797134	not present in author-curated 75-sample RNAseq_metadata.tsv
ERR11178339	SAMEA7225825	ERS4985810	NT1631361T	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/039/ERR11178339/ERR11178339_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/039/ERR11178339/ERR11178339_2.fastq.gz	750465ade3cbc771945b0cb991f0bd4b	d63eb31fb9d94b0859b2e602f51425bc	2464877179	2785429103	not present in author-curated 75-sample RNAseq_metadata.tsv
ERR11178346	SAMEA7225827	ERS4985812	NT1631363V	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/046/ERR11178346/ERR11178346_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/046/ERR11178346/ERR11178346_2.fastq.gz	c0b9b19a5ad3b1b10968bb3958c9a9ca	9110a899dd51ccd4085a928a60294a7b	676379489	773084854	not present in author-curated 75-sample RNAseq_metadata.tsv
ERR11178373	SAMEA7225838	ERS4985823	NT1631368D	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/073/ERR11178373/ERR11178373_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/073/ERR11178373/ERR11178373_2.fastq.gz	aa6ffa0e39eae7fabc6309dce2aeb5f6	063ca58315a8a2757210088d1112cb09	1352970621	1542815132	not present in author-curated 75-sample RNAseq_metadata.tsv
ERR11178390	SAMEA7225812	ERS4985797	NT1631354U	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/090/ERR11178390/ERR11178390_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/090/ERR11178390/ERR11178390_2.fastq.gz	d6fc99f7b7ed8f68d580d0235b2e500b	a607110963c4c93e14e42cfb87dccde9	1495232997	1676983664	not present in author-curated 75-sample RNAseq_metadata.tsv
ERR11178425	SAMEA7225819	ERS4985804	NT1631358B	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/025/ERR11178425/ERR11178425_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/025/ERR11178425/ERR11178425_2.fastq.gz	5f287082edf1a8cc895fd2c8822b6c1e	8053897138580e163cc5ff1b9bdb385a	3319187704	3808998590	not present in author-curated 75-sample RNAseq_metadata.tsv
ERR11178300	SAMEA7225812	ERS4985797	NT1631354U	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/000/ERR11178300/ERR11178300_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/000/ERR11178300/ERR11178300_2.fastq.gz	2e76254abee500ec765fca696ce7b4cb	610ffedd455c722a6e93ffa078da8c57	1523092502	1652314112	not present in author-curated 75-sample RNAseq_metadata.tsv
ERR11178350	SAMEA7225832	ERS4985817	NT1631365A	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/050/ERR11178350/ERR11178350_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/050/ERR11178350/ERR11178350_2.fastq.gz	afe64200a0e21d041799f3b4dc30508e	148ebd308f9dcd3c71f6557590b485f7	772161317	852599330	not present in author-curated 75-sample RNAseq_metadata.tsv
ERR11178352	SAMEA7225833	ERS4985818	NT1631366B	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/052/ERR11178352/ERR11178352_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/052/ERR11178352/ERR11178352_2.fastq.gz	f64af2cdef42c9dc3ac21994b06b60d3	80e95b9ecddea9b4ce377a1a89b5a35d	1203063938	1379784864	not present in author-curated 75-sample RNAseq_metadata.tsv
ERR11178399	SAMEA7225813	ERS4985798	NT1631355V	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/099/ERR11178399/ERR11178399_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/099/ERR11178399/ERR11178399_2.fastq.gz	136ff9e0977c436b1154718b39c7537f	451eeb2535211abce562af34d0eefb32	765084	862960	not present in author-curated 75-sample RNAseq_metadata.tsv
ERR11178408	SAMEA7225815	ERS4985800	NT1631356W	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/008/ERR11178408/ERR11178408_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/008/ERR11178408/ERR11178408_2.fastq.gz	714bc15fe87caae5c5978cace59d6d67	f2245a68ef3a1e963d8cbdf3c933cf11	4305962292	4843812532	not present in author-curated 75-sample RNAseq_metadata.tsv
ERR11178436	SAMEA7225827	ERS4985812	NT1631363V	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/036/ERR11178436/ERR11178436_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR111/036/ERR11178436/ERR11178436_2.fastq.gz	4f9e52871973f59bd60170a1351eaf5a	eadcebc9db75ec4f2a4ab3e904069ad0	661022594	784044219	not present in author-curated 75-sample RNAseq_metadata.tsv
