gene_id	PRJEB32839__f_26d_juveniles_r1	PRJEB32839__f_26d_juveniles_r2	PRJEB32839__f_26d_juveniles_r3	PRJEB32839__f_26d_juveniles_r4	PRJEB32839__f_26d_juveniles_r5	PRJEB32839__f_2d_somules_r1	PRJEB32839__f_2d_somules_r2	PRJEB32839__f_2d_somules_r3	PRJEB32839__f_2d_somules_r4	PRJEB32839__f_2d_somules_r5	PRJEB32839__f_32d_sporocysts_r1	PRJEB32839__f_32d_sporocysts_r2	PRJEB32839__f_32d_sporocysts_r3	PRJEB32839__f_32d_sporocysts_r4	PRJEB32839__f_32d_sporocysts_r5	PRJEB32839__f_cercariae_r1	PRJEB32839__f_cercariae_r2	PRJEB32839__f_cercariae_r3	PRJEB32839__f_cercariae_r4	PRJEB32839__f_cercariae_r5	PRJEB32839__m_26d_juveniles_r1	PRJEB32839__m_26d_juveniles_r2	PRJEB32839__m_26d_juveniles_r3	PRJEB32839__m_26d_juveniles_r4	PRJEB32839__m_26d_juveniles_r5	PRJEB32839__m_2d_somules_r1	PRJEB32839__m_2d_somules_r2	PRJEB32839__m_2d_somules_r3	PRJEB32839__m_2d_somules_r4	PRJEB32839__m_2d_somules_r5	PRJEB32839__m_32d_sporocysts_r1	PRJEB32839__m_32d_sporocysts_r2	PRJEB32839__m_32d_sporocysts_r3	PRJEB32839__m_32d_sporocysts_r4	PRJEB32839__m_32d_sporocysts_r5	PRJEB32839__m_cercariae_r1	PRJEB32839__m_cercariae_r2	PRJEB32839__m_cercariae_r3	PRJEB32839__m_cercariae_r4	PRJEB32839__m_cercariae_r5	PRJEB32839__x_1d_sporocysts_r1	PRJEB32839__x_1d_sporocysts_r2	PRJEB32839__x_1d_sporocysts_r3	PRJEB32839__x_1d_sporocysts_r4	PRJEB32839__x_1d_sporocysts_r5	PRJEB32839__x_2d_somules_r1	PRJEB32839__x_2d_somules_r2	PRJEB32839__x_2d_somules_r3	PRJEB32839__x_2d_somules_r4	PRJEB32839__x_2d_somules_r5	PRJEB32839__x_32d_sporocysts_r1	PRJEB32839__x_32d_sporocysts_r2	PRJEB32839__x_32d_sporocysts_r3	PRJEB32839__x_32d_sporocysts_r4	PRJEB32839__x_32d_sporocysts_r5	PRJEB32839__x_5d_sporocysts_r1	PRJEB32839__x_5d_sporocysts_r2	PRJEB32839__x_5d_sporocysts_r3	PRJEB32839__x_5d_sporocysts_r4	PRJEB32839__x_5d_sporocysts_r5	PRJEB32839__x_cercariae_r1	PRJEB32839__x_cercariae_r2	PRJEB32839__x_cercariae_r3	PRJEB32839__x_cercariae_r4	PRJEB32839__x_cercariae_r5	PRJEB32839__x_eggs_r1	PRJEB32839__x_eggs_r2	PRJEB32839__x_eggs_r3	PRJEB32839__x_eggs_r4	PRJEB32839__x_eggs_r5	PRJEB32839__x_miracidia_r1	PRJEB32839__x_miracidia_r2	PRJEB32839__x_miracidia_r3	PRJEB32839__x_miracidia_r4	PRJEB32839__x_miracidia_r5
Smp_000020	9924.15083685068	4985.749097340091	4179.171971797167	2774.6182006410513	8326.582966952223	5816.32599225446	4408.7486311497405	4740.253137232837	5801.269998340626	5073.760153362143	1451.625347571206	2052.0327767490203	2082.923351093109	1631.2544357164186	2702.85672530739	1979.6195173207025	2844.352111023355	2533.6514662083946	3376.979855865112	2453.847597800587	2743.9166410147927	3749.6862826401475	7997.056788305203	7910.3163381734485	8068.827128082437	5854.752550694646	4467.040355203818	4629.427892971823	2692.780390081251	4188.9072309911435	1839.1372701068392	2046.4708895114954	2100.7095731512827	2966.45719856397	3061.198534409209	1587.206292081241	2698.7436057304344	2611.0742830708537	3255.204218793847	2650.666818735313	7856.44266363593	6652.517753621541	11871.683732866068	7743.813701359638	6940.271021215568	8008.57121962025	9439.910236185677	9207.76492825039	5977.237586881906	4034.4923756930125	4203.362106078721	2575.237804017935	1558.5928722370177	1519.5329277392586	1523.1819198530563	6684.6213046658995	5771.236931043806	7590.028005172088	7909.796323862289	7522.571295941333	3750.7908765781863	2763.025240453095	3810.9984961120613	3453.5845264291265	2964.495691275222	6314.157991131378	7307.4094462748835	8037.141862832127	7974.264130967556	6424.174951953072	340.31385939464417	18106.808316997376	77.24428144294387	6153.003240914373	7486.71714830749
Smp_000030	39829.725472883736	22533.837391944755	16895.577416295895	11315.72211765755	36221.2071014387	26267.38405490101	18376.923827846287	19297.803450414605	24079.872101623387	21486.68060603222	5414.018623276714	6816.402421877094	8290.614905171205	5437.358537613455	9543.29029542701	7550.226766451184	8409.80717800237	8740.596221634774	11425.976108266219	9510.256505693333	11742.95106246856	16158.231777610465	37412.95362561002	30508.695153414017	34618.45603744873	31702.191967782528	23958.19266706339	23145.550046993358	14673.316579178627	21795.83954634112	7060.372896669262	9187.914457794615	8440.73642186127	10295.634327919479	13041.952945250063	8374.604862207616	14397.099653526655	14837.343973497882	16344.355044895558	15913.489095837454	34687.73220600627	39805.65487986646	41749.04839232376	37474.41245122665	38424.17908045517	36033.67628193531	43727.313850908904	49912.582608660865	27349.72364629941	17719.168204905818	16968.0908433978	10628.087333904256	7022.770588692102	6850.972701157003	6058.1009441947	28926.111376763132	28373.47661662614	32132.131384208886	35088.98985760107	38072.67374147068	13224.893105827938	11135.199337969681	13768.043646686894	12345.077865441239	10154.667299871278	22404.84490654187	21160.187386370788	39965.31727949112	26536.16766302411	25924.645933213567	4274.119124935531	103245.61798191092	682.1790286547879	34032.866275806475	40102.51464838868
Smp_000040	21147.050604045267	10482.570154149342	8978.701785877032	5961.195708892446	18361.676728686445	17668.22547420145	8805.410878919121	9675.56155674582	12755.647928438664	10191.332559093624	1684.257855454821	2822.898740721268	2718.589823532906	2722.5159696083933	3148.0875918562087	3473.9756164430705	3978.9064636694966	4123.172233158574	4996.180643642709	4269.162472647014	7209.612146875752	10445.43733969575	18733.445542587287	16136.918166388647	18117.08771246972	19544.87625609817	16682.08112872661	14121.26103779891	8555.289638599788	13370.676197672334	2148.5698688388784	3354.2040656304493	2721.9842995683484	3728.67690458181	4020.373162865351	2987.5515935322355	4727.325031392409	4530.2147872088035	5345.602659865598	4674.038631301801	8406.889213170032	8976.988934662462	12459.530150596185	9742.564541727217	8944.048976393176	21825.947468150956	24755.256078494793	33238.50949218349	12399.53483766496	7878.650423927444	6076.15130806239	3410.2340653633755	1853.5855305057808	1995.6785949879495	1688.7468667320557	5152.34737837278	6991.670035382232	7203.804124650088	7841.245364358474	9120.652201762621	4303.414690012591	4180.9986738548	5384.633713683661	4397.433920053277	4299.750404565563	9477.77298533254	14102.77512972991	11403.221619368684	13560.614134475738	9588.751848166356	1180.5278312346284	25516.706523303765	289.1200666331473	9516.662770151035	9838.687888473878
Smp_000050	2125.8088863905596	1047.4736814150904	1167.152053928731	690.5192769032467	2023.457940828209	6283.0926061442615	2732.274484052968	2765.9584147129385	4020.392257844054	2757.6912034897023	314.50354614980256	280.80242817766003	310.047785414867	323.5483926456855	327.26407707486453	348.4963293714285	842.2243139021904	573.8770550780614	1334.198102510859	705.0649937022902	825.7722310557145	1272.2699509677177	1772.688776658537	1753.8253823951363	1899.1795412016174	6742.6650868163	5839.666809582171	6240.9850651728375	2462.7297915973922	4182.9571168954035	274.0952247107943	470.1802969414762	550.6713687781023	286.39526846119213	464.8416052411978	526.3747458540819	658.2737593315793	900.0621114051008	586.8857278113412	848.7958223562986	6036.333205802506	2411.9759860046906	4710.774362206603	5478.864433235158	4887.552653836711	8249.500185993464	11718.37376453856	13562.717767125281	4303.251784192178	2860.4257365726985	1547.8425718000192	509.9804043316186	554.8500779335794	440.07076367599353	248.75654515865972	3485.6272800693255	2592.3133599852067	4852.490500668818	5428.446050921723	5631.602660676848	785.6410898494481	695.5165977213675	951.3153808458375	627.6358410520535	486.34350727305167	1558.5740525757903	2544.0307923594896	2792.9882158414043	2858.283073557364	2841.731474657941	170.74561706882147	7806.112193595096	69.18908486878671	2830.4592297100844	2279.0505956594457
Smp_000070	8029.011189282565	3849.250046159082	3429.260752836671	2103.3832826138087	6902.350728092125	5002.842452888947	4706.549052621074	3208.432004766335	4418.300482732459	5609.9987484842495	803.9056474209344	1821.0210769556263	2262.177256418803	1703.0119388451055	2116.547048999974	1447.2952963701273	1931.8598151254305	1784.9676792503712	1845.7765444573777	1657.3459652060592	2392.536337377704	3665.2359972871973	6125.7505606048	4596.7224847165935	5179.616534774367	5120.578753420154	4970.645485940482	3803.279444707479	2590.716502203247	3901.533968733306	1141.3067070494874	1961.165895291456	1377.1939389461938	1585.7503903288932	2508.723511493008	1078.4638028320203	1782.842847274979	2005.0064367679336	2268.9580203969335	2028.9710396840137	8312.284499396623	14739.35102368375	6977.473077927095	7777.949458132072	7393.989727882989	9120.442012123023	7827.939891936051	13305.28626357284	4462.305995291863	2488.0409684573256	4192.094514080288	2912.3796443319543	1166.481283498467	1332.5765249585563	1130.8717866545476	8974.652495720708	9600.515285824695	14368.839897700236	14199.016896702993	15017.271164995605	2940.7047373325945	1850.5004932248344	2677.129911529729	1842.9645718545867	2592.4850624903274	8387.941065002717	4251.250433210795	7483.405402250202	7371.712039416512	7197.360252268048	4455.698313293173	24560.744324511303	3716.5463750928157	8494.100105903844	9658.434989207415
Smp_000075	2.989041004701031	0	0	0	1.001335398363748	26.96936722443891	59.12023779267457	67.93139255013712	50.89252038163852	97.18358336808541	5.999318008918525	10.992736681350216	7.988278283406555	19.971309344352647	20.977226608537528	0	4.990009828076074	3.0000830541873302	0	4.992009378903972	0	0	0	4.008374388956702	0	40.97858436710599	14.965058678286326	12.968733688565301	7.973900048688287	10.982284289067891	5.985189804518022	15.958715000371175	8.987338381999223	8.97921102082082	7.972748348733396	0	0.9987690715326195	1.9974025051381905	1.9985444598888558	0.9974545601768012	29.000115279681506	3.9980827790030347	86.09431499968913	44.0376344074323	49.01812787877415	6.988277032997644	54.93523244033568	24.96973242463087	8.00989041198114	30.101463562710066	21.939209185441538	2.9924029862882833	0	2.98982080995177	4.982358742483863	0	10.008774734225044	13.002244098227916	3.0002123359952404	15.012947299539084	1.997349600188063	0	1.9990495052695336	0.9989990227697886	2.9947535280328728	8.998047719353885	2.002288851433894	8.000074540576373	7.023659359938703	2.0045122512031956	0	1.0002171275292884	0	0	0
Smp_000080	46.23718287227302	2.613387092055492	7.36012898500218	14.083645847526254	29.910311028189174	32.150319156478204	32.572797291566644	42.87250185821007	34.682594294113045	39.547607516969414	2.8583454853048793	8.454049805980945	2.754469700630362	17.81850355355713	14.578648018204824	21.452928263077993	11.394974870254405	33.95782544616005	17.82968506361317	18.96137993349135	7.157209672273214	24.76303409859085	17.93869745435638	4.240977840132299	26.333185096539356	25.819953251227734	11.3398449480022	19.54931020661387	26.191211794339665	25.438945119617735	5.603097380807211	9.082369004622526	13.217407503089227	2.827550051573979	9.148448334409975	10.31492058715398	377.77365944010575	19.922444573780062	24.23902789899038	14.719908899445954	33.03830386203876	30.8182032164615	80.81541161007263	41.72940151113156	48.2750240021134	37.246060389552916	58.48816084294121	73.36089205682713	14.242703840150913	28.39369642294808	4.23019494468614	9.141340852145369	2.7574269086357184	0	1.3117278674825235	7.4410271781558235	35.597482144778475	24.871431172954566	24.78989584293493	15.050798888042468	50.24469262047546	19.426771457389634	18.96653190288103	36.34479908512369	55.48108822126428	62.94422307093173	30.14647034463059	37.15531684104714	74.07259377246815	94.86616776761815	0	94.63049992811176	5.567321748221165	32.48653818973229	48.69627500880857
Smp_000100	40183.538767422826	21507.13457619573	16537.858047376045	11259.550851740316	36482.98711208468	10861.157488685196	7333.339684435816	7644.306365544663	8195.430730847807	8434.297687537277	3479.7638658621654	5885.579729560723	6575.0254854375235	5910.344850300692	5954.877958290513	6246.95904766159	24722.017465744757	13067.88369597142	29652.77638335566	23527.607458975985	20434.4810624836	29295.919970818864	48235.9278013156	37514.71758120942	41529.663040072446	18392.270602680976	12075.381595496337	11382.354832978464	7127.660736150238	12082.708722434507	4300.339981971178	5735.381422680698	5095.54762711672	7977.630731647504	8674.668529268427	11943.904175649435	29159.555126997464	16586.34435201966	8376.023975415286	34258.06445149284	9027.675496231288	5614.636990585185	9532.287716609966	7371.056190451397	8148.7471240717405	12968.685257980738	19922.489936755457	22794.346823819167	7189.947807477282	5146.242795347546	14510.469225282925	4624.060175254856	2751.4806247310416	4698.06570660507	3677.864680311898	12627.743068381904	7946.483915518313	8305.450477360635	9747.967630978845	11505.311187523494	29801.657091111545	24314.543950072053	25505.373746193618	25370.70012592503	14697.534639094667	10161.232671952179	14968.404981366386	10092.610704887196	16115.051240363398	9773.390328961475	896.1702607743525	19976.52760991038	122.17726226794578	7873.851147429294	12404.564482484344
Smp_000110	4159.043627747339	2124.246030714278	1696.9813299577297	1208.9158658933611	3674.751044237784	3773.6099236542527	2791.2996944779557	2819.514623962973	3483.1241194900304	3022.8578766351434	617.4529576028007	820.7272549983213	775.3993488296317	656.2123257189952	1067.678600103263	1777.1424138988718	2330.085663121225	2213.091209200073	2737.4873565453017	1928.707097049799	1176.2614684069201	1552.3201840267309	2748.6466503733554	2369.40988619614	2713.588674333689	4220.349943191502	3175.3610177477826	3115.096659964527	1891.0311387555753	2900.7699507044945	651.9016259825839	917.738150829406	880.4722567771164	1018.5525443459316	1380.5031262554076	1368.4718697007627	2072.183145428287	2187.5580450230354	2760.349205488785	2208.895522643293	3572.3491275289707	2549.8345449630956	5071.4596674364875	3598.6545763691825	3234.6788899991047	4911.069489701447	6896.352512418744	7786.371854280231	3270.586526028943	2319.8247434444497	2320.4155423519624	1262.5729195290844	753.3765713669804	718.9151714683691	728.2160179315939	2841.5588689649235	2630.2937449435185	3734.006757495255	4258.524635566189	3877.662606806372	3349.1634888330814	2256.3682521158466	3133.6437736805447	2649.2783438376223	2644.4912261015943	3148.6165877919875	3609.6173321009737	4470.579867973036	4145.532859645189	3696.865231888595	249.9999805441656	11685.869991994914	71.16750845259949	3553.627195408183	3796.2742171405625
Smp_000130	10836.317421920377	5168.2019541885165	4743.960645398771	3109.1254741064236	9104.731467541536	8390.008743257757	5221.573003501693	5598.547793905669	7024.687825273395	5387.685993611905	799.2583941551416	1001.095392841319	1380.9642260443873	1263.726279908071	1350.4055956362859	2731.1357307773756	4136.740497992499	3988.814112955146	5478.7341832662	4457.662546024945	4180.927233171275	5945.6431830980855	10003.42540606748	10923.96567940715	10573.08603730265	8567.783851328746	6769.7008566064915	5929.576359211521	3466.9934992649205	5785.897756743072	807.4218899231234	1481.6280253988168	920.3767155990339	1552.0684404255255	1815.3782400911832	2397.790713633124	3423.358702382229	4068.438249425596	3972.737514385635	3831.766032567096	7065.153780810469	4776.276687216085	8547.410571308217	6555.663512937017	6377.106367542775	9671.853090985074	11702.597435459082	14058.67716981369	6320.172201511027	4048.231132768619	2770.9981823496046	2639.6551415672225	1150.220270192234	1346.2623439497647	926.9029387269723	6337.419314214692	5073.231624485997	8824.865527363481	8491.820222669237	6987.993709458752	5224.328239273948	4498.64836011072	5070.277699823006	5068.68423929482	3662.5405473700584	6052.598216227631	9451.300491017093	6635.388330512185	10513.957972752556	7619.233186324189	946.6771213062531	30896.688926491235	176.85783224146797	12316.91219033972	10031.310235786565
