gene_id	PRJNA597909__adult_control_r1	PRJNA597909__adult_control_r2	PRJNA597909__adult_control_r3	PRJNA597909__adult_control_r4	PRJNA597909__adult_control_r5	PRJNA597909__adult_pzq_r1	PRJNA597909__adult_pzq_r2	PRJNA597909__adult_pzq_r3	PRJNA597909__adult_pzq_r4	PRJNA597909__adult_pzq_r5	PRJNA597909__juvenile_control_r1	PRJNA597909__juvenile_control_r2	PRJNA597909__juvenile_control_r3	PRJNA597909__juvenile_control_r4	PRJNA597909__juvenile_control_r5	PRJNA597909__juvenile_pzq_r1	PRJNA597909__juvenile_pzq_r2	PRJNA597909__juvenile_pzq_r3	PRJNA597909__juvenile_pzq_r4	PRJNA597909__juvenile_pzq_r5
Smp_000020	2423.4285891786744	2412.392250237849	2080.1996958675404	2277.5806269468712	2031.502384559264	2190.988383394657	2589.729751062844	2376.7394427564104	2390.4779045067135	2659.2887095363753	3209.508900373952	3106.622043356164	2896.592148013889	3532.383415157713	3686.1724345002735	3021.504849936089	2490.447800720478	2939.700598899419	2753.02898733618	2962.0800981920293
Smp_000030	9111.49510006161	9469.77719477501	8836.592317855535	9218.768341122799	8427.938049529512	10235.84261449718	11631.02983907294	11265.447360686034	12332.712528973354	12936.222698648804	10468.162326263158	10524.720261385733	9463.143944951245	10261.782789447534	11246.99612380331	11060.734584353722	9390.304844345386	11899.368711815132	11766.495442567184	11041.096850364513
Smp_000040	5923.006080836516	5865.362258780499	5449.5923750578895	5461.960992306604	4987.494958163492	5828.870160511533	6903.424167102094	6136.458536701714	6731.607485242785	7420.767128683867	4743.458157161584	4434.109746993325	4623.230168029006	4765.956444818286	5177.814820809979	5045.633412448242	4481.254519883097	5294.2778799916805	5114.099925295404	4642.23990642111
Smp_000050	656.8275906573936	612.2737738910469	702.8505559370182	599.6771366842223	599.6675760567131	1737.2275498032116	1677.7709182592416	1818.2889543845672	2599.8316559270593	2152.044199695639	535.9191478599266	531.1878074898436	626.15260732756	681.1800870836504	674.2972518043266	744.3931052643511	661.7379576677212	866.7474706475447	888.3465445738594	584.0977148376683
Smp_000070	1734.3303982497714	1840.4142248052856	1733.8300917368035	1839.245632321784	1679.1694385190685	1560.6915814489928	1710.4228715435634	1720.2815035360247	1924.3969324934876	2060.1850630391477	1967.7952535731233	1824.3842718100552	1862.1003579956057	1579.917637503556	1787.3479921362662	1979.6965836412217	1616.1093254879402	1715.1800758191407	1692.8837633063285	1706.3841232675231
Smp_000075	0	0	0	0	0	0.9994957221148586	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smp_000080	1.479973765980948	8.948011646099053	1.5210157761531231	3.088518296269229	4.441154779180447	6.437703556690384	6.210927061945719	2.8460355007849816	1.4410140494073918	6.652885804474113	0	2.148853350451692	2.1921622119933133	4.669816638390291	2.2174897917691903	3.3024752504057764	2.345776411676996	1.048795773816899	1.0533439967334104	1.067113324395024
Smp_000100	11009.832767608556	9436.388980103466	12211.115916800269	10385.593496880883	9684.910606045634	8236.00588782059	8327.027545382049	7715.632003268301	6738.602477041696	6780.735696800551	15436.149662552529	14673.03873945893	14703.538034410078	16878.715268112508	17255.250564619677	14289.300336296288	12121.443473240248	12979.703446950469	12426.116566512283	12480.105057357732
Smp_000110	979.1878287053713	1121.827782553618	1050.2442976020145	1127.14903593739	948.5473374454939	881.063241755914	953.258477896262	982.6514541393315	1197.9647685316618	1132.9952470985909	947.5471733874948	953.4761241449648	861.006172807283	933.2204554119946	1023.4287298648865	1035.5305810697193	893.8618479956763	951.7686335393735	976.3984779676962	893.1417153718497
Smp_000130	3128.83461316035	2997.74576577424	3084.151993989833	2772.005008456929	2628.9731384594957	3105.260232701931	3764.3869335140917	3581.7061615384464	3304.957947679333	3782.922613715717	3505.2999440548906	3573.285695208694	3575.8055061404707	3598.8514966360526	3637.9798977954806	3797.927368261972	3706.4720656741033	4141.110912564806	3846.4428090024594	3328.676907275718
Smp_000150	1962.595645069362	2069.931614101718	1980.7348559172121	2059.5959304077605	1697.8208851967001	2423.902440717322	2879.122675153997	2610.0119624083636	2860.952864158806	3328.7625220871846	2011.7202916856947	2181.4654136200415	2221.033914760279	2124.939462840809	2356.0072440194094	2352.9958521049307	2055.5069205694826	2506.4043350175016	2549.3347828855917	2201.479524220188
Smp_000160	479.4921854741223	466.2817768803606	566.731400025363	435.2586235140092	375.00417197417124	457.59565189250753	524.6526643197609	408.28936330712656	449.5659337251858	446.1872764204224	286.31750544018286	331.2485096503137	356.81076725592345	432.12718214021686	384.30145106389716	323.2885672260899	382.3077879080803	295.6488271305393	275.4727785982789	247.38046182903548
Smp_000180	547.6589228338037	583.5457208528691	498.7628111740794	420.97580020598286	381.874990563204	181.59751914100585	161.93257551496094	123.90719435421138	187.88650538252176	159.8947416350371	99.98961019792029	86.01806392339496	149.0079143755466	216.98841325446622	144.02789484081555	66.02318895747217	103.00654916651558	51.0124122382295	29.00930185805879	62.01396814988571
