gene_id	baseMean	log2FoldChange	lfcSE	statistic	pvalue	padj	contrast	design
Smp_047700	2698.38328517892	5.65174013759559	0.136175002631922	41.5035067256223	0	0	condition__ovary_mixed_sex_vs_ovary_single_sex	~ condition
Smp_129960	21327.7761757407	7.13547098592801	0.222737155336531	32.0353870693334	3.50794027292817e-225	1.64294382682591e-221	condition__ovary_mixed_sex_vs_ovary_single_sex	~ condition
Smp_060570	1186.69416497395	2.83648694391679	0.124552616644958	22.7734030831509	8.41518714503273e-115	2.62750193291739e-111	condition__ovary_mixed_sex_vs_ovary_single_sex	~ condition
Smp_045560	5333.00505074516	-3.3186109464919	0.147229725377358	-22.5403595502614	1.66957420357667e-112	3.90972539122566e-109	condition__ovary_mixed_sex_vs_ovary_single_sex	~ condition
Smp_135270	1433.46039444215	2.88937384602307	0.130246153592858	22.1839475970637	4.90780880270792e-109	9.19428901099303e-106	condition__ovary_mixed_sex_vs_ovary_single_sex	~ condition
Smp_034660	1701.13039359603	3.29383675948829	0.152985806522716	21.5303421562784	8.09338946539469e-103	1.26351298537253e-99	condition__ovary_mixed_sex_vs_ovary_single_sex	~ condition
Smp_194770	12669.6583584293	4.21807161833008	0.200628532577733	21.0242858487528	3.93268388067881e-98	5.2624928443312e-95	condition__ovary_mixed_sex_vs_ovary_single_sex	~ condition
Smp_099630	12024.7313119989	1.84508841159777	0.0967207301011179	19.0764524799265	3.96258881486408e-81	4.63969617860397e-78	condition__ovary_mixed_sex_vs_ovary_single_sex	~ condition
Smp_045790	2051.08797863539	1.5568186862385	0.0849924875409641	18.3171328582206	6.04128732161098e-75	6.28763759350334e-72	condition__ovary_mixed_sex_vs_ovary_single_sex	~ condition
Smp_010250	3340.7605464178	2.37495181534783	0.130726763304412	18.1672960862459	9.37036175106492e-74	8.77721785222251e-71	condition__ovary_mixed_sex_vs_ovary_single_sex	~ condition
Smp_163250	519.926975554383	4.99786212389975	0.282138814030409	17.7141955497164	3.2585262600152e-70	2.77478322523294e-67	condition__ovary_mixed_sex_vs_ovary_single_sex	~ condition
Smp_135500	947.012753452559	-5.19809234639786	0.294894376069157	-17.6269633069531	1.52965110397595e-69	1.19402015757856e-66	condition__ovary_mixed_sex_vs_ovary_single_sex	~ condition
Smp_102690	6547.58329515662	-1.8085577576076	0.103310463193778	-17.5060463548141	1.28837573427039e-68	8.94834097461652e-66	condition__ovary_mixed_sex_vs_ovary_single_sex	~ condition
Smp_333920	261.476658562856	4.64353169314963	0.265285263885824	17.5039187067253	1.33742685646025e-68	8.94834097461652e-66	condition__ovary_mixed_sex_vs_ovary_single_sex	~ condition
Smp_176940	587.633024844461	6.6518922795547	0.382620313440365	17.3850996559582	1.07001180041085e-67	6.68186702296561e-65	condition__ovary_mixed_sex_vs_ovary_single_sex	~ condition
