dataset,sample_id,file_prefix,run_accession,condition,stage,tissue,sex,infection_mode,treatment,time_hours,batch,replicate,biosample,library_name,technical_unit
PRJEB14695,testis_mixed_sex_r1,testis_mixed_sex_r1,ERR506079,testis_mixed_sex,adult,testis,male,mixed_sex,untreated,not_applicable,not_declared,1,SAMEA2395939,9645651,technical_run_1
PRJEB14695,testis_mixed_sex_r1,testis_mixed_sex_r1,ERR506103,testis_mixed_sex,adult,testis,male,mixed_sex,untreated,not_applicable,not_declared,1,SAMEA2395939,9645651,technical_run_2
PRJEB14695,testis_mixed_sex_r1,testis_mixed_sex_r1,ERR667057,testis_mixed_sex,adult,testis,male,mixed_sex,untreated,not_applicable,not_declared,1,SAMEA2395939,9645651,technical_run_3
PRJEB14695,testis_mixed_sex_r1,testis_mixed_sex_r1,ERR667081,testis_mixed_sex,adult,testis,male,mixed_sex,untreated,not_applicable,not_declared,1,SAMEA2395939,9645651,technical_run_4
PRJEB14695,testis_mixed_sex_r1,testis_mixed_sex_r1,ERR667105,testis_mixed_sex,adult,testis,male,mixed_sex,untreated,not_applicable,not_declared,1,SAMEA2395939,9645651,technical_run_5
PRJEB14695,testis_mixed_sex_r1,testis_mixed_sex_r1,ERR667129,testis_mixed_sex,adult,testis,male,mixed_sex,untreated,not_applicable,not_declared,1,SAMEA2395939,9645651,technical_run_6
PRJEB14695,testis_mixed_sex_r2,testis_mixed_sex_r2,ERR506080,testis_mixed_sex,adult,testis,male,mixed_sex,untreated,not_applicable,not_declared,2,SAMEA2395940,9645652,technical_run_1
PRJEB14695,testis_mixed_sex_r2,testis_mixed_sex_r2,ERR506104,testis_mixed_sex,adult,testis,male,mixed_sex,untreated,not_applicable,not_declared,2,SAMEA2395940,9645652,technical_run_2
PRJEB14695,testis_mixed_sex_r2,testis_mixed_sex_r2,ERR667058,testis_mixed_sex,adult,testis,male,mixed_sex,untreated,not_applicable,not_declared,2,SAMEA2395940,9645652,technical_run_3
PRJEB14695,testis_mixed_sex_r2,testis_mixed_sex_r2,ERR667082,testis_mixed_sex,adult,testis,male,mixed_sex,untreated,not_applicable,not_declared,2,SAMEA2395940,9645652,technical_run_4
