gene_id	baseMean	log2FoldChange	lfcSE	statistic	pvalue	padj	contrast	design
Smp_337730	15050.7854697436	3.90540889655608	0.134322476497751	29.0748726377262	7.46236740216739e-186	7.05342966852862e-182	condition__adult_pzq_vs_adult_control	~ condition
Smp_197540	5424.22653776097	-1.26254311032012	0.0447912060985213	-28.187298809125	8.36927016875389e-175	3.95531708175309e-171	condition__adult_pzq_vs_adult_control	~ condition
Smp_340060	19388.5928572904	2.15307295542151	0.0859087004338365	25.0623387916305	1.28093027522698e-138	4.03578432048181e-135	condition__adult_pzq_vs_adult_control	~ condition
Smp_342560	183.182407673598	-4.1944236047034	0.167989192559471	-24.9684133889654	1.34759776787989e-137	3.18437352550019e-134	condition__adult_pzq_vs_adult_control	~ condition
Smp_043220	7480.20683547757	-1.51569270103231	0.061466907741121	-24.658678250351	2.97022524823819e-134	5.61491380926948e-131	condition__adult_pzq_vs_adult_control	~ condition
Smp_008660	35187.4043136653	2.7859657144314	0.114001552192802	24.43796300001	6.75726251335807e-132	1.06449408793768e-128	condition__adult_pzq_vs_adult_control	~ condition
Smp_195090	656.336613984311	-2.77561186325	0.117529590940479	-23.6162811513201	2.62238970585169e-123	3.54097535710146e-120	condition__adult_pzq_vs_adult_control	~ condition
Smp_086480	6613.00735143984	-1.82915525765885	0.0779550716965724	-23.4642239157773	9.46312822402939e-122	1.11806859966907e-118	condition__adult_pzq_vs_adult_control	~ condition
Smp_081900	4750.20149222855	1.97015815249216	0.0857839501902799	22.9665123618357	1.00784083748539e-116	1.05845684399021e-113	condition__adult_pzq_vs_adult_control	~ condition
Smp_000950	103.986967396632	-3.91390921643888	0.17260512779559	-22.6755095078866	7.81716986623265e-114	7.3887889575631e-111	condition__adult_pzq_vs_adult_control	~ condition
Smp_076320	386.380376940735	-3.83616609858986	0.169612103287873	-22.6172898291282	2.92930292836304e-113	2.51707011626249e-110	condition__adult_pzq_vs_adult_control	~ condition
Smp_340490	1298.78665946836	1.71110983591245	0.0765441018463101	22.3545615486889	1.09017287204137e-110	8.58692832211251e-108	condition__adult_pzq_vs_adult_control	~ condition
Smp_311670	26098.7240941841	3.71114126696869	0.168416699557405	22.0354708097325	1.31669427440962e-107	9.57338021670747e-105	condition__adult_pzq_vs_adult_control	~ condition
Smp_313560	17855.8604914125	1.13263702325277	0.0533288293548041	21.2387377888455	4.18997605311336e-100	2.82883240385911e-97	condition__adult_pzq_vs_adult_control	~ condition
Smp_131990	1472.57481901602	1.36353719886505	0.0665771139513659	20.4805693419078	3.20885893980016e-93	2.02200897993274e-90	condition__adult_pzq_vs_adult_control	~ condition
Smp_169730	2091.33022210325	1.16072878941927	0.0568045708014012	20.4337216714018	8.38600496182313e-93	4.95403243119701e-90	condition__adult_pzq_vs_adult_control	~ condition
Smp_332850	1893.77559051564	1.15960777450646	0.0567713444290556	20.4259347064709	9.83581138125505e-93	5.46871112797781e-90	condition__adult_pzq_vs_adult_control	~ condition
Smp_010370	2950.72093164879	2.42656462771899	0.121524915325595	19.9676306806521	1.05332756040266e-88	5.53114005606998e-86	condition__adult_pzq_vs_adult_control	~ condition
Smp_248100	523.426380236153	-2.2895582328924	0.116076888085109	-19.724497017991	1.32872516107979e-86	6.61005801185587e-84	condition__adult_pzq_vs_adult_control	~ condition
Smp_078750	7060.23643841624	-0.833043071812325	0.0424263419957311	-19.6350435278192	7.76142832514173e-86	3.66805102646198e-83	condition__adult_pzq_vs_adult_control	~ condition
Smp_147420	1677.31958438516	1.82152157689819	0.0928425157547173	19.6194767245484	1.05432846722255e-85	4.74548222485122e-83	condition__adult_pzq_vs_adult_control	~ condition
Smp_151060	1129.42005078308	1.17418318337449	0.0603304545455901	19.4625283734137	2.28242240388296e-84	9.80611661886445e-82	condition__adult_pzq_vs_adult_control	~ condition
Smp_128370	9555.05562000024	1.12408290292767	0.0581672195380842	19.3250238167512	3.30831099228402e-83	1.35957197822037e-80	condition__adult_pzq_vs_adult_control	~ condition
Smp_124240	4754.61057262806	-1.49978729514088	0.0781485362597157	-19.1914956686655	4.35911534546287e-82	1.71676492688813e-79	condition__adult_pzq_vs_adult_control	~ condition
Smp_244960	512.526457053049	2.81481021774398	0.149855635834758	18.7834791935874	1.03097851935214e-78	3.89792358596656e-76	condition__adult_pzq_vs_adult_control	~ condition
Smp_348320	1124.44852702691	4.49863547591311	0.24146659070779	18.6304675223461	1.81928192925601e-77	6.61378953666454e-75	condition__adult_pzq_vs_adult_control	~ condition
Smp_306850	233.05885970684	-3.7491253447215	0.204447961595558	-18.3377976256768	4.13200764022051e-75	1.44650874871719e-72	condition__adult_pzq_vs_adult_control	~ condition
Smp_313310	109.617303102788	3.59236067053037	0.196185110701848	18.3110770112919	6.75209792866473e-75	2.27931534363353e-72	condition__adult_pzq_vs_adult_control	~ condition
Smp_049270	20789.367583448	1.11796602145782	0.0611297649415552	18.2884070064179	1.02362979570602e-74	3.33632718241837e-72	condition__adult_pzq_vs_adult_control	~ condition
Smp_018870	460.681828192362	-1.50804166398585	0.0827030722308543	-18.2344092342345	2.75211512135353e-74	8.67099737567785e-72	condition__adult_pzq_vs_adult_control	~ condition
Smp_172460	351.682473647243	3.18403023002335	0.175573172601278	18.1350611989806	1.68511379996727e-73	5.13796633460988e-71	condition__adult_pzq_vs_adult_control	~ condition
Smp_242800	2292.16448936496	0.900130449077588	0.0496880584460332	18.1156293328553	2.39913446923397e-73	7.08644343849983e-71	condition__adult_pzq_vs_adult_control	~ condition
Smp_063330	11969.8734629648	0.962470330004357	0.0543915713702139	17.6952109629881	4.56517594631226e-70	1.30757706195586e-67	condition__adult_pzq_vs_adult_control	~ condition
Smp_349350	69.8789198016016	-4.44756834721886	0.251723961983829	-17.6684345509569	7.34057838491954e-70	2.04068079100763e-67	condition__adult_pzq_vs_adult_control	~ condition
Smp_129510	673.275597901378	2.65395967528324	0.150571939515214	17.6258583360752	1.55983279775428e-69	4.21243988696384e-67	condition__adult_pzq_vs_adult_control	~ condition
Smp_052230	1846.36843732484	1.51433584868054	0.0861173236407544	17.5845670146197	3.2344265202885e-69	8.49216651937969e-67	condition__adult_pzq_vs_adult_control	~ condition
Smp_038870	3162.7689564656	-0.65941604149715	0.0380431762463914	-17.3333592659656	2.63479159884505e-67	6.7308243762928e-65	condition__adult_pzq_vs_adult_control	~ condition
Smp_157950	631.044442164114	-0.980769513849422	0.0566289434532093	-17.3192267777307	3.36853537451929e-67	8.37878851577798e-65	condition__adult_pzq_vs_adult_control	~ condition
Smp_242890	282.00137227824	-1.33623888805481	0.0779810292157583	-17.1354353936225	8.074621149384e-66	1.95695690010199e-63	condition__adult_pzq_vs_adult_control	~ condition
