gene_id	PRJNA597909__adult_control_r1	PRJNA597909__adult_control_r2	PRJNA597909__adult_control_r3	PRJNA597909__adult_control_r4	PRJNA597909__adult_control_r5	PRJNA597909__adult_pzq_r1	PRJNA597909__adult_pzq_r2	PRJNA597909__adult_pzq_r3	PRJNA597909__adult_pzq_r4	PRJNA597909__adult_pzq_r5	PRJNA597909__juvenile_control_r1	PRJNA597909__juvenile_control_r2	PRJNA597909__juvenile_control_r3	PRJNA597909__juvenile_control_r4	PRJNA597909__juvenile_control_r5	PRJNA597909__juvenile_pzq_r1	PRJNA597909__juvenile_pzq_r2	PRJNA597909__juvenile_pzq_r3	PRJNA597909__juvenile_pzq_r4	PRJNA597909__juvenile_pzq_r5
Smp_000320	72.516323	66.535024	69.078139	68.0615	65.673746	49.562128	47.87527	44.307396	29.66568	34.293034	92.402259	93.400722	96.095662	82.953931	83.56011	86.816233	98.795065	84.964598	77.182726	85.06753
Smp_000340	3.072943	3.183456	3.367362	3.103196	2.76984	4.211765	3.967379	4.611362	5.200436	4.943148	1.333202	1.602474	1.550271	1.20334	1.291461	1.490631	1.476473	1.687854	1.406773	1.498971
Smp_000370	38.547243	38.712802	36.559868	41.307476	39.65576	46.858187	49.754496	50.017497	52.634383	45.772291	32.465239	31.349636	30.8063	33.240286	31.226922	37.044627	37.586669	39.77982	38.236543	35.705178
Smp_000390	583.728205	846.629802	840.32225	809.761184	905.211928	295.808237	270.752894	312.826736	346.884765	421.995588	5.335784	0.721212	0.361738	4.486154	0.555732	0.238973	2.26818	0.23928	1.072377	5.981303
Smp_000420	997.711273	1353.333982	1436.465706	1229.959477	1320.453925	401.925563	368.58197	375.425748	457.606849	505.350606	22.066263	3.187147	3.43127	10.384844	4.308949	1.777309	2.072281	1.161038	2.465757	11.603585
Smp_000430	2410.915586	3429.245844	3765.239827	3179.048	3643.93575	946.777492	836.798583	792.118334	1080.749573	1192.636129	26.141077	3.171345	3.272327	14.685255	4.77571	2.972367	5.13181	1.082531	2.335281	14.722261
Smp_000470	86.895569	87.529508	83.076303	82.414028	77.493037	89.211727	89.375081	96.726443	96.866879	93.499501	96.594415	101.906748	105.561713	121.629587	112.179907	109.019413	113.277997	117.194063	109.142352	115.366133
Smp_000480	32.123923	32.549699000000004	32.199206	31.726987	31.588962	31.915194	31.428465	33.243196	31.994266	30.963268999999997	33.402269	34.320234	35.319108	38.784413	39.700521	37.558865000000004	36.995469	36.470526	33.889325	36.394491
Smp_000500	1.402588	1.653226	2.110913	2.688051	2.767199	2.212682	1.503669	1.660155	1.84171	1.990114	0.994553	0.330951	0.830016	0.975258	0.535546	0.575729	0.643258	0.576658	0.246043	1.092227
Smp_000510	38.851675	35.4232	31.495468	34.384308	29.884278	33.96182	31.429457	33.682861	35.214311	32.324046	56.159027	53.006186	54.545766	56.485222	55.803599	50.204941	49.734446	48.154743	46.846835	49.373834
Smp_000560	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Smp_000580	2.43534	2.137026	1.900723	2.125552	1.647389	2.242167	2.078518	2.657876	3.064178	1.712173	4.652649	4.718463	4.750406	4.961231	4.440254	5.085676	5.743512	4.849447	3.675753	4.252319
